
WET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-15,28,22,17,15,12,9,77,60,36,1020,1019,1018,10,10,10,39,26,53,0.00,1,,356<br />
2014-8-16,31,23,16,14,13,10,88,56,33,1020,1017,1015,10,10,10,34,18,34,0.00,1,,342<br />
2014-8-17,32,24,18,15,12,8,78,47,25,1015,1013,1010,,,,29,14,40,0.00,,,327<br />
2014-8-18,27,22,18,16,14,11,83,65,44,1013,1012,1010,10,10,10,26,13,45,0.00,1,,322<br />
2014-8-19,25,21,17,16,14,14,88,71,50,1018,1015,1013,10,10,10,27,14,,0.00,1,,317<br />
2014-8-20,28,22,16,15,13,8,94,66,30,1019,1017,1017,10,10,10,27,11,,0.00,1,,330<br />
2014-8-21,26,21,17,15,14,12,88,68,42,1018,1017,1016,10,10,10,23,10,,0.00,1,,314<br />
2014-8-22,26,21,17,16,13,9,88,69,38,1019,1017,1016,10,10,10,24,14,,0.00,1,,323<br />
2014-8-23,26,21,16,15,13,11,94,68,39,1019,1019,1018,10,10,10,29,13,,0.00,1,,340<br />
2014-8-24,28,22,16,14,13,10,88,64,34,1020,1019,1018,10,10,10,26,18,,0.00,1,,337<br />
2014-8-25,30,22,15,20,14,12,94,67,35,1019,1018,1017,10,10,10,32,16,,0.00,3,,345<br />
2014-8-26,26,22,19,19,19,17,94,80,65,1019,1018,1017,10,10,10,35,16,40,0.00,3,,345<br />
2014-8-27,29,24,20,19,17,13,94,70,37,1018,1017,1016,10,10,10,26,18,,0.00,1,,335<br />
2014-8-28,29,24,20,19,17,14,94,69,40,1019,1018,1017,10,10,10,26,14,,0.00,4,,344<br />
2014-8-29,26,21,17,16,13,10,88,63,36,1020,1018,1016,10,10,10,34,18,48,0.00,1,,349<br />
2014-8-30,27,22,18,16,14,10,88,65,36,1017,1016,1016,10,10,10,29,19,,0.00,1,,329<br />
2014-8-31,29,23,17,16,14,2,94,66,18,1016,1015,1014,10,10,10,26,13,,0.00,1,,299<br />
2014-9-1,34,26,17,17,11,5,59,41,24,1015,1014,1012,10,10,10,24,8,,0.00,,,308<br />
2014-9-2,28,24,20,18,16,12,88,62,47,1014,1013,1012,10,10,10,24,10,48,0.00,1,Niebla,275<br />
2014-9-3,25,21,18,19,18,15,94,78,54,1015,1014,1013,10,10,7,19,6,,0.00,5,Lluvia,267<br />
2014-9-4,27,23,19,18,16,14,94,70,47,1016,1015,1014,10,10,10,21,8,,0.00,2,,303<br />
2014-9-5,27,21,16,20,17,14,94,74,53,1017,1015,1014,10,10,10,26,8,,0.00,2,,259<br />
2014-9-6,26,23,21,22,21,19,94,89,74,1015,1013,1012,10,10,5,26,16,,0.00,4,Lluvia,228<br />
2014-9-7,26,22,19,20,19,17,100,83,57,1013,1011,1010,10,10,8,21,11,,0.00,2,Lluvia,228<br />
2014-9-8,25,22,19,21,18,15,100,81,54,1016,1014,1012,10,10,10,19,8,,0.00,2,Niebla,242<br />
2014-9-9,26,21,16,20,18,15,100,82,51,1016,1015,1014,10,10,8,21,6,,0.00,1,Niebla,230<br />
2014-9-10,22,20,19,20,19,19,100,94,83,1014,1013,1012,10,9,3,21,11,,0.00,4,Lluvia-Tormenta,169<br />
2014-9-11,25,22,20,21,20,19,100,87,69,1016,1014,1013,10,9,5,29,16,,0.00,3,Lluvia,200<br />
2014-9-12,26,23,20,21,19,17,100,82,61,1017,1016,1015,10,10,9,26,14,,0.00,4,,210<br />
2014-9-13,25,21,18,21,18,16,100,88,57,1018,1017,1016,10,8,1,21,8,,0.00,3,Lluvia-Tormenta,217<br />
2014-9-14,25,22,20,20,18,17,100,81,61,1016,1014,1013,10,10,10,27,14,,0.00,1,Lluvia,224<br />
2014-9-15,24,21,19,20,19,17,100,87,65,1013,1011,1007,10,9,3,34,18,47,0.00,1,Lluvia,198<br />
2014-9-16,24,21,18,20,19,17,94,85,69,1007,1003,1002,10,9,3,42,27,61,0.00,2,Lluvia-Tormenta,194<br />
2014-9-17,24,21,19,19,18,16,100,83,61,1008,1005,1004,10,10,6,37,21,47,0.00,2,Lluvia,236<br />
2014-9-18,23,20,18,19,17,16,100,82,69,1008,1007,1006,10,10,8,40,23,55,0.00,2,Lluvia-Tormenta,223<br />
2014-9-19,23,19,16,18,17,14,100,83,57,1013,1010,1007,10,10,7,26,11,,0.00,2,Lluvia,230<br />
2014-9-20,24,20,16,19,17,16,100,84,61,1017,1015,1013,10,10,7,24,10,24,0.00,1,Lluvia,206<br />
2014-9-21,25,21,17,19,17,14,100,80,57,1017,1016,1014,10,10,8,19,8,39,0.00,2,Lluvia-Tormenta,324<br />
2014-9-22,23,19,16,19,17,16,100,90,78,1016,1015,1014,10,9,3,26,8,60,0.00,2,Niebla-Lluvia-Tormenta,276<br />
2014-9-23,23,20,17,18,17,15,100,87,65,1015,1014,1013,10,7,0,21,8,32,0.00,2,Niebla-Lluvia-Tormenta,307<br />
2014-9-24,25,21,18,17,16,15,94,79,54,1018,1016,1014,10,10,9,23,14,34,0.00,2,,333<br />
2014-9-25,27,22,17,16,15,12,88,69,47,1018,1017,1016,10,10,10,21,13,39,0.00,1,,353<br />
2014-9-26,27,22,18,16,13,9,73,59,48,1020,1018,1017,10,10,10,21,11,42,0.00,1,Lluvia-Tormenta,63<br />
2014-9-27,23,20,17,18,17,14,94,84,68,1020,1018,1017,10,10,7,34,10,52,0.00,1,Lluvia-Tormenta,68<br />
2014-9-28,24,19,15,18,16,14,100,83,61,1022,1020,1018,10,10,10,14,8,32,0.00,1,Lluvia,354<br />
2014-9-29,24,20,16,17,16,13,94,78,53,1024,1022,1021,10,10,9,26,11,,0.00,1,,344<br />
2014-9-30,25,20,16,17,15,13,94,74,47,1024,1022,1021,10,10,10,23,14,37,0.00,1,,9<br />
2014-10-1,29,23,17,17,15,13,88,62,42,1023,1021,1019,10,10,10,23,14,39,0.00,1,,14<br />
2014-10-2,30,26,21,19,16,15,73,60,43,1021,1020,1019,10,10,10,21,11,45,0.00,1,,26<br />
2014-10-3,30,25,20,18,15,12,73,59,37,1021,1020,1019,10,10,10,19,11,35,0.00,1,Lluvia,355<br />
2014-10-4,23,20,18,17,16,12,94,77,60,1021,1020,1019,10,10,8,27,18,,0.00,1,,346<br />
2014-10-5,21,18,16,17,12,9,88,69,46,1020,1018,1017,10,10,10,29,16,48,0.00,3,,342<br />
2014-10-6,23,19,16,18,14,12,94,77,57,1017,1016,1015,10,10,5,19,10,,0.00,4,,293<br />
2014-10-7,22,20,18,20,18,17,100,93,83,1015,1014,1013,10,8,0,23,13,,0.00,6,Lluvia,227<br />
2014-10-8,22,21,20,20,19,19,94,91,83,1013,1011,1010,10,10,5,32,21,,0.00,6,Lluvia,226<br />
2014-10-9,21,18,15,19,17,15,100,89,73,1013,1012,1011,10,9,4,23,11,29,0.00,5,Lluvia-Tormenta,315<br />
2014-10-10,22,18,15,15,14,12,100,80,53,1014,1013,1012,10,10,10,14,6,37,0.00,2,,347<br />
2014-10-11,21,17,13,16,14,13,100,90,64,1014,1009,1004,10,7,0,27,6,47,0.00,2,Niebla-Lluvia-Tormenta,202<br />
2014-10-12,18,17,15,15,14,12,94,87,77,1013,1006,1003,10,8,4,40,23,60,0.00,2,Lluvia,262<br />
2014-10-13,18,16,13,16,13,11,100,87,77,1013,1009,1005,10,8,1,37,14,50,0.00,2,Lluvia,230<br />
2014-10-14,20,17,13,16,13,11,94,80,64,1013,1011,1008,10,10,10,16,10,,0.00,2,Lluvia,243<br />
2014-10-15,22,20,18,20,19,16,100,91,83,1014,1013,1011,10,9,3,34,21,50,0.00,6,Lluvia,226<br />
2014-10-16,22,21,20,20,19,19,100,90,83,1015,1013,1012,10,10,9,39,27,55,0.00,6,Lluvia,214<br />
2014-10-17,23,21,19,19,18,18,100,87,78,1016,1014,1013,10,10,10,35,23,50,0.00,6,,187<br />
2014-10-18,23,21,19,19,18,16,100,87,65,1017,1016,1014,10,9,3,27,18,,0.00,4,Lluvia,194<br />
2014-10-19,29,23,17,19,17,16,100,80,45,1017,1016,1015,10,5,0,19,8,34,0.00,4,Niebla,72<br />
2014-10-20,28,23,19,17,16,14,78,64,48,1021,1018,1015,,,,23,14,39,0.00,,,55<br />
2014-10-21,29,23,17,18,16,14,88,65,51,1026,1023,1021,,,,11,8,37,0.00,,,51<br />
2014-10-22,30,24,19,18,14,11,73,55,40,1027,1025,1023,,,,16,8,32,0.00,,,24<br />
2014-10-23,27,23,19,13,10,7,64,45,32,1024,1022,1020,,,,19,14,37,0.00,,,44<br />
2014-10-24,26,21,16,15,12,7,88,56,38,1020,1017,1015,,,,16,10,40,0.00,,,38<br />
2014-10-25,26,21,17,16,13,11,83,65,41,1019,1016,1015,,,,14,10,42,0.00,,,63<br />
2014-10-26,24,19,14,16,14,12,94,78,53,1020,1019,1018,10,10,10,11,6,32,0.00,1,,45<br />
2014-10-27,23,18,13,17,15,12,100,87,65,1019,1017,1014,10,4,0,10,3,37,0.00,3,Niebla,85<br />
2014-10-28,22,19,16,17,16,15,94,82,64,1014,1012,1011,10,9,9,16,10,37,0.00,,Lluvia,72<br />
2014-10-29,25,20,15,17,16,13,94,78,57,1017,1013,1011,,,,14,10,39,0.00,,,74<br />
2014-10-30,25,20,16,16,14,13,88,74,47,1018,1017,1016,,,,14,10,,0.00,,,84<br />
2014-10-31,23,18,14,18,15,12,94,82,57,1021,1019,1017,10,10,10,21,8,26,0.00,1,,239<br />
2014-11-1,22,19,16,18,17,13,100,87,73,1023,1022,1020,10,9,6,21,8,34,0.00,2,Niebla-Lluvia,6<br />
2014-11-2,19,16,13,14,12,11,94,77,60,1022,1020,1019,10,10,10,23,13,,0.00,2,Lluvia,316<br />
2014-11-3,20,17,14,17,14,12,100,86,64,1019,1013,1006,10,9,5,35,14,53,0.00,4,Lluvia,256<br />
2014-11-4,17,13,11,13,9,7,94,77,59,1013,1009,1006,10,10,5,32,16,58,0.00,2,Lluvia-Tormenta,328<br />
2014-11-5,17,13,10,11,9,8,94,75,55,1019,1016,1013,10,10,10,27,13,40,0.00,2,,331<br />
2014-11-6,18,14,11,15,12,9,100,85,68,1020,1018,1017,10,9,3,23,10,,0.00,5,Lluvia,256<br />
2014-11-7,18,17,15,17,13,9,100,80,59,1019,1017,1015,10,9,5,26,14,,0.00,4,Lluvia,307<br />
2014-11-8,18,14,12,14,12,8,94,85,72,1019,1015,1012,10,10,4,29,11,45,0.00,3,Lluvia,281<br />
2014-11-9,16,13,10,10,9,7,88,79,63,1017,1015,1013,10,10,10,27,10,,0.00,1,Lluvia,317<br />
2014-11-10,17,13,11,17,13,9,100,93,77,1017,1011,1005,10,6,1,35,13,61,0.00,4,Lluvia,234<br />
2014-11-11,18,16,14,15,13,11,100,84,64,1008,1005,1002,10,9,3,27,13,60,0.00,3,Lluvia,269<br />
2014-11-12,19,17,14,16,14,11,100,84,64,1013,1011,1008,10,10,10,26,13,,0.00,3,Lluvia,235<br />
2014-11-13,19,17,16,18,17,14,100,94,83,1011,1008,1005,10,7,1,50,29,69,0.00,4,Lluvia-Tormenta,226<br />
2014-11-14,17,14,12,14,12,10,100,83,63,1012,1008,1007,10,10,7,29,11,40,0.00,2,Lluvia-Tormenta,256<br />
2014-11-15,16,13,12,13,11,9,94,84,72,1017,1015,1012,10,10,3,24,13,40,0.00,3,Lluvia,264<br />
2014-11-16,17,13,10,12,11,10,100,82,63,1018,1016,1016,10,10,10,14,6,,0.00,3,,282<br />
2014-11-17,17,13,10,12,11,8,94,80,68,1015,1014,1013,10,10,10,13,5,,0.00,6,,289<br />
2014-11-18,17,13,10,14,12,9,100,91,68,1013,1010,1008,10,8,1,27,8,,0.00,5,Lluvia,104<br />
2014-11-19,17,14,13,17,14,13,100,99,94,1010,1008,1006,10,4,0,23,10,,0.00,6,Niebla-Lluvia,72<br />
2014-11-20,17,16,14,16,14,13,100,94,82,1012,1010,1007,10,9,7,35,14,40,0.00,3,Lluvia-Tormenta,130<br />
2014-11-21,19,16,13,15,13,12,100,88,77,1013,1012,1010,10,10,10,19,10,40,0.00,1,,62<br />
2014-11-22,18,16,13,15,14,12,100,91,77,1011,1009,1007,10,9,8,26,10,27,0.00,1,Lluvia,30<br />
2014-11-23,16,14,13,14,13,12,100,94,88,1011,1009,1008,10,9,4,34,16,48,0.00,4,Lluvia,351<br />
2014-11-24,21,17,14,15,14,13,100,85,68,1019,1015,1011,10,10,10,21,13,,0.00,2,,358<br />
2014-11-25,16,13,11,13,11,8,94,79,59,1021,1019,1018,10,10,10,19,13,,0.00,3,,321<br />
2014-11-26,14,11,9,13,11,8,100,95,87,1018,1008,1002,10,8,1,35,10,55,0.00,3,Lluvia-Tormenta,149<br />
2014-11-27,14,11,8,13,10,8,100,95,72,1002,993,981,10,8,0,35,11,55,0.00,4,Niebla-Lluvia,147<br />
2014-11-28,13,11,9,11,9,8,100,89,77,990,983,979,10,10,7,23,10,47,0.00,1,Lluvia,186<br />
2014-11-29,16,13,10,12,9,7,88,77,55,999,996,990,10,10,10,27,19,,0.00,1,,5<br />
2014-11-30,18,16,13,13,12,10,94,79,64,1007,1002,999,10,10,10,24,18,,0.00,1,Lluvia,353<br />
2014-12-1,18,16,14,13,11,9,82,73,63,1011,1009,1007,10,10,10,52,23,71,0.00,2,,348<br />
2014-12-2,15,13,11,10,9,8,88,80,67,1014,1012,1011,10,10,10,34,21,52,0.00,1,,342<br />
2014-12-3,16,13,11,9,8,7,82,73,59,1012,1011,1010,10,10,10,26,19,34,0.00,1,Lluvia,350<br />
2014-12-4,15,12,10,10,9,7,94,81,63,1020,1015,1011,10,10,10,26,13,,0.00,1,Lluvia,325<br />
2014-12-5,15,11,8,10,8,5,93,79,63,1025,1022,1020,10,10,10,13,8,40,0.00,1,Lluvia,336<br />
2014-12-6,14,9,5,6,4,3,87,72,51,1029,1027,1025,10,10,10,23,10,35,0.00,1,,18<br />
2014-12-7,14,10,7,8,6,3,87,74,63,1032,1030,1028,10,10,10,21,13,35,0.00,1,,8<br />
2014-12-8,15,11,8,10,7,5,93,75,55,1032,1031,1030,10,10,10,27,16,32,0.00,1,,2<br />
2014-12-9,15,12,9,9,8,6,88,78,63,1032,1032,1031,10,10,10,29,21,42,0.00,1,,358<br />
2014-12-10,15,12,9,10,8,6,94,79,63,1033,1032,1031,10,10,10,23,14,37,0.00,1,,352<br />
2014-12-11,15,11,7,10,8,6,100,84,59,1032,1029,1026,10,7,3,19,11,,0.00,2,,25<br />
2014-12-12,14,9,6,12,8,6,100,98,88,1026,1020,1013,10,5,0,23,6,,0.00,5,Niebla-Lluvia,80<br />
2014-12-13,15,11,8,13,10,8,100,93,82,1012,1007,1004,10,8,3,35,19,42,0.00,3,Lluvia,218<br />
2014-12-14,14,11,9,10,9,8,100,86,67,1019,1012,1006,10,10,10,29,19,45,0.00,3,Lluvia,13<br />
2014-12-15,15,13,11,10,9,7,82,77,67,1025,1022,1018,10,10,10,40,27,55,0.00,2,,352<br />
2014-12-16,16,14,13,14,12,10,100,88,72,1025,1024,1023,10,9,3,35,21,52,0.00,5,Lluvia,348<br />
2014-12-17,15,13,11,12,11,8,88,83,72,1029,1027,1025,10,10,10,29,21,,0.00,3,,2<br />
2014-12-18,14,12,10,9,8,7,88,81,67,1031,1029,1028,10,10,10,27,18,,0.00,1,,356<br />
2014-12-19,12,8,4,8,6,4,100,91,76,1033,1032,1030,10,6,0,24,13,,0.00,2,Niebla,46<br />
2014-12-20,10,7,3,8,6,3,100,94,76,1034,1032,1031,10,2,0,19,10,35,0.00,3,Niebla,58<br />
2014-12-21,14,9,5,10,7,5,100,86,72,1032,1030,1029,10,9,3,21,10,42,0.00,1,Niebla,52<br />
2014-12-22,14,10,6,10,8,5,100,89,77,1029,1028,1026,10,10,8,14,8,24,0.00,2,,54<br />
2014-12-23,13,11,9,10,9,8,100,90,82,1029,1027,1026,10,9,8,16,10,35,0.00,3,,61<br />
2014-12-24,14,10,7,11,9,7,100,90,82,1031,1029,1027,10,10,9,14,8,35,0.00,2,,48<br />
2014-12-25,14,10,6,8,6,4,100,78,58,1034,1032,1031,9,7,4,14,6,35,0.00,3,Niebla,26<br />
2014-12-26,15,9,4,9,6,4,100,77,59,1034,1032,1031,10,10,10,21,8,27,0.00,1,,20<br />
2014-12-27,13,11,10,10,9,8,94,87,72,1032,1029,1027,10,10,10,24,14,,0.00,2,,351<br />
2014-12-28,15,12,9,12,10,6,94,85,71,1027,1025,1023,10,10,5,26,13,,0.00,3,Lluvia,331<br />
2014-12-29,11,8,5,6,0,-4,82,58,40,1034,1030,1026,10,10,10,23,16,,0.00,1,,53<br />
2014-12-30,11,7,3,-2,-3,-5,65,52,38,1034,1032,1031,,,,24,16,47,0.00,,,62<br />
2014-12-31,12,7,2,2,-1,-3,70,59,47,1034,1032,1031,,,,14,10,34,0.00,,,47<br />
