PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-9-6,32,29,26,24,22,21,74,65,48,1011,1009,1007,7,6,3,34,21,,0.00,4,,239
2015-9-7,33,29,26,24,22,21,79,67,50,1009,1008,1006,7,6,3,24,19,,0.00,5,,227
2015-9-8,33,29,26,24,22,21,79,65,47,1009,1008,1006,8,6,3,23,14,,0.00,2,,229
2015-9-9,33,30,26,24,22,21,77,63,47,1010,1008,1006,7,6,3,27,14,,0.00,2,,233
2015-9-10,33,30,27,24,23,22,79,66,47,1011,1009,1007,7,6,3,24,13,,0.00,3,,235
2015-9-11,36,30,25,24,21,18,78,58,33,1011,1009,1007,8,6,3,19,11,,0.00,2,,233
2015-9-12,37,31,26,25,22,17,79,60,30,1010,1008,1006,7,6,3,23,14,,0.00,2,,243
2015-9-13,35,30,26,24,22,20,79,64,44,1011,1009,1007,7,6,3,29,16,,0.00,3,,242
2015-9-14,33,30,27,28,23,22,79,66,52,1009,1007,1004,7,6,3,29,18,,0.00,4,,234
2015-9-15,33,30,27,24,23,22,74,65,52,1006,1005,1003,7,6,3,26,18,,0.00,4,,233
2015-9-16,33,30,27,24,22,21,79,64,47,1006,1005,1003,8,6,3,26,13,,0.00,3,,232
2015-9-17,35,31,27,25,23,21,84,67,44,1007,1005,1002,7,6,3,23,14,,0.00,3,,245
2015-9-18,39,32,26,26,22,17,83,60,27,1007,1005,1003,7,5,3,26,10,,0.00,4,,253
2015-9-19,42,34,27,24,18,8,74,43,13,1005,1002,999,7,6,2,24,11,,0.00,4,,280
2015-9-20,42,35,28,25,16,8,66,37,12,1003,1001,998,7,6,3,29,10,,0.00,2,,320
2015-9-21,39,33,28,25,21,17,74,52,27,1003,1001,999,7,5,0,55,10,,0.00,4,,208
2015-9-22,36,32,28,25,20,14,84,55,28,1005,1003,1001,7,5,3,21,8,,0.00,1,,199
2015-9-23,34,29,25,24,21,18,74,58,44,1009,1007,1004,8,6,3,29,14,,0.00,1,,212
2015-9-24,33,29,26,24,22,20,74,63,47,1009,1007,1006,7,6,3,27,16,,0.00,3,,230
2015-9-25,33,30,27,24,22,20,74,64,49,1008,1006,1005,10,7,3,39,23,,0.00,4,,235
2015-9-26,33,29,26,24,22,21,78,65,50,1009,1007,1005,7,6,3,34,18,,0.00,3,,237
2015-9-27,33,29,26,24,22,20,74,64,44,1010,1008,1007,8,6,3,26,16,,0.00,3,,234
2015-9-28,34,30,25,24,22,20,83,66,42,1012,1009,1008,7,6,3,23,11,,0.00,2,,226
2015-9-29,36,30,25,23,21,13,83,60,28,1013,1011,1009,7,6,3,23,8,,0.00,2,,229
2015-9-30,40,31,23,22,12,5,78,36,12,1015,1013,1012,8,5,3,23,6,,0.00,,,296
2015-10-1,41,32,23,16,8,5,36,22,10,1015,1012,1010,9,7,3,19,8,,0.00,3,,283
2015-10-2,41,32,23,19,11,5,50,29,9,1014,1012,1010,6,5,3,23,5,,0.00,,,240
2015-10-3,39,31,23,25,16,8,79,42,15,1012,1010,1008,7,6,3,26,11,,0.00,,,242
2015-10-4,34,30,26,26,23,22,84,69,54,1011,1009,1007,7,6,3,26,14,,0.00,3,,229
2015-10-5,34,30,27,25,23,22,82,66,51,1012,1010,1008,7,5,3,23,11,,0.00,2,,226
2015-10-6,34,30,25,24,22,19,83,65,43,1012,1010,1008,7,6,3,19,10,,0.00,2,,226
2015-10-7,34,30,25,25,23,20,83,66,46,1012,1010,1001,6,5,3,23,13,,0.00,2,,233
2015-10-8,37,31,25,26,23,17,84,67,30,1012,1010,1007,7,5,3,26,11,,0.00,1,Fog,251
2015-10-9,34,30,26,25,23,19,82,67,46,1010,1007,1005,8,5,2,23,11,,0.00,3,,233
2015-10-10,33,30,26,25,23,21,79,66,51,1008,1007,1005,6,5,3,26,16,,0.00,3,,229
2015-10-11,34,30,27,26,23,22,79,67,48,1011,1009,1006,7,6,3,23,13,,0.00,4,,209
2015-10-12,34,30,27,25,22,21,77,64,47,1013,1011,1010,7,5,3,19,11,,0.00,2,,216
2015-10-13,35,30,24,24,19,11,83,59,23,1014,1012,1010,7,6,3,23,10,,0.00,3,,235
2015-10-14,36,30,25,24,21,16,83,59,32,1015,1013,1011,8,6,2,23,13,,0.00,1,,246
2015-10-15,37,31,26,24,20,15,79,54,27,1016,1013,1012,7,6,3,148,14,,0.00,1,,253
2015-10-16,36,31,27,25,22,17,84,63,32,1015,1014,1012,7,6,3,19,13,,0.00,1,,247
2015-10-17,37,31,25,24,20,7,83,55,18,1015,1013,1011,7,5,3,23,10,,0.00,,,253
2015-10-18,37,32,27,25,22,12,89,63,22,1016,1013,1011,7,5,3,23,13,,0.00,2,,255
2015-10-19,35,31,27,25,23,19,82,64,41,1016,1013,1011,8,6,3,26,13,,0.00,2,,239
2015-10-20,35,31,26,25,22,13,84,63,31,1013,1011,1009,7,5,1,45,11,,0.00,2,Thunderstorm,231
2015-10-21,36,31,25,23,18,12,79,49,26,1013,1011,1009,7,5,1,19,3,,0.00,3,,285
2015-10-22,37,31,25,23,18,13,74,49,23,1015,1013,1011,6,5,2,21,6,,0.00,1,,257
2015-10-23,37,31,25,24,19,7,79,56,16,1015,1012,1011,8,6,3,34,10,,0.00,,,234
2015-10-24,34,29,25,24,21,3,89,65,24,1013,1011,1009,7,6,3,26,11,,0.00,1,,233
2015-10-25,34,29,25,24,22,21,79,64,47,1013,1011,1009,7,6,3,26,13,,0.00,2,,233
2015-10-26,34,29,23,24,16,13,83,48,24,1016,1014,1012,7,6,3,29,10,,0.00,1,,53
2015-10-27,34,28,22,21,14,12,53,39,24,1018,1015,1013,7,6,3,29,13,,0.00,2,,21
2015-10-28,34,29,23,17,13,11,57,39,23,1017,1015,1012,8,6,3,26,14,,0.00,1,,42
2015-10-29,33,27,21,16,6,1,53,30,9,1018,1016,1013,8,6,3,26,14,,0.00,1,,28
2015-10-30,33,27,20,9,6,3,40,26,11,1018,1016,1013,8,6,3,29,14,,0.00,,,28
2015-10-31,33,27,20,12,7,5,43,27,13,1017,1015,1013,8,6,3,27,14,,0.00,,,32
2015-11-1,33,28,22,11,7,4,41,27,13,1017,1014,1012,6,5,3,27,16,,0.00,,,23
2015-11-2,34,28,22,17,8,5,40,28,16,1017,1015,1012,8,5,3,24,14,,0.00,,,23
2015-11-3,35,28,21,17,10,7,61,33,17,1017,1015,1012,6,4,3,19,8,,0.00,,,337
2015-11-4,34,27,20,24,17,13,74,52,24,1015,1012,1010,6,5,2,26,6,,0.00,1,,225
2015-11-5,36,28,21,24,15,-1,89,48,5,1014,1012,1011,9,5,2,19,11,,0.00,2,,292
2015-11-6,33,27,20,9,2,-7,37,21,7,1016,1013,1011,6,6,3,23,8,,0.00,,,41
2015-11-7,33,26,19,14,6,2,50,29,13,1018,1015,1012,6,5,3,21,8,,0.00,,,29
2015-11-8,33,26,18,13,8,2,56,34,11,1019,1016,1013,5,4,2,14,6,,0.00,,,22
2015-11-9,34,26,18,18,8,2,71,37,13,1018,1015,1012,5,4,3,19,3,,0.00,,,1
2015-11-10,34,27,19,18,11,5,84,42,14,1017,1014,1012,7,4,2,19,6,,0.00,,,9
2015-11-11,33,27,20,21,9,7,52,34,15,1017,1015,1013,7,3,2,21,10,,0.00,,,30
2015-11-12,34,28,21,18,11,8,61,38,18,1018,1015,1013,4,2,1,16,8,,0.00,,,26
2015-11-13,33,26,19,23,16,10,100,59,23,1018,1015,1014,6,3,0,200,10,,0.00,,,256
2015-11-14,32,26,20,24,19,16,84,66,37,1015,1013,1011,5,3,1,23,6,,0.00,3,,192
2015-11-15,33,27,20,21,16,6,83,55,20,1014,1012,1011,9,6,2,19,6,,0.00,2,,247
2015-11-16,33,27,21,18,11,4,73,40,17,1017,1014,1012,6,5,3,21,6,,0.00,1,,22
2015-11-17,33,26,18,17,7,1,53,32,8,1016,1014,1012,8,5,3,19,6,,0.00,,,45
2015-11-18,33,26,18,13,5,-2,72,33,9,1017,1015,1013,7,5,2,19,10,,0.00,1,,42
2015-11-19,33,25,17,7,2,-2,40,24,10,1019,1016,1014,8,5,3,19,8,,0.00,,,24
2015-11-20,33,24,16,10,3,0,40,25,11,1017,1015,1012,7,6,3,19,8,,0.00,,,23
2015-11-21,32,26,18,8,2,-1,45,24,10,1016,1014,1012,6,5,3,26,13,,0.00,,,18
2015-11-22,32,25,18,10,3,1,35,24,10,1016,1014,1011,8,5,3,19,10,,0.00,,,8
2015-11-23,33,24,17,9,4,1,39,26,12,1017,1015,1013,7,5,3,21,10,,0.00,1,,17
2015-11-24,31,25,19,9,5,1,40,27,10,1017,1015,1013,6,5,3,34,16,,0.00,1,,14
2015-11-25,32,26,20,9,3,-1,33,23,10,1018,1016,1014,7,6,3,23,13,,0.00,2,,1
2015-11-26,32,24,16,9,1,-13,44,26,4,1018,1016,1014,7,5,3,16,6,,0.00,,,358
2015-11-27,30,22,13,12,2,-4,52,30,11,1017,1015,1012,7,5,3,16,5,,0.00,3,,225
2015-11-28,30,22,14,12,2,-7,63,32,8,1018,1016,1014,7,6,3,26,8,,0.00,,,37
2015-11-29,28,22,15,6,0,-6,36,23,7,1021,1018,1016,7,5,3,29,14,,0.00,,,32
2015-11-30,30,22,15,11,0,-5,38,24,8,1021,1018,1015,8,5,3,23,11,,0.00,,,18
2015-12-1,31,22,14,9,3,1,45,29,13,1019,1016,1014,6,5,3,19,5,,0.00,,,286
2015-12-2,31,22,14,14,6,2,56,38,18,1019,1016,1015,5,4,3,14,5,,0.00,,,39
2015-12-3,32,22,12,13,3,-5,59,33,7,1021,1018,1016,7,5,3,159,8,,0.00,,,316
2015-12-4,31,22,14,19,12,6,78,53,23,1017,1015,1012,7,5,3,21,6,,0.00,,,251
2015-12-5,31,23,16,21,16,4,88,67,25,1017,1015,1013,8,5,2,148,5,,0.00,,,185
2015-12-6,30,23,16,18,13,6,88,60,23,1017,1015,1013,6,5,2,14,3,,0.00,3,,329
2015-12-7,31,22,14,18,11,-1,77,53,18,1018,1016,1014,7,5,3,14,3,,0.00,3,,5
2015-12-8,29,22,16,17,11,8,68,49,24,1018,1015,1013,6,4,3,14,6,,0.00,,,287
2015-12-9,28,22,16,18,11,-6,77,50,16,1015,1014,1012,8,5,2,26,8,,0.00,2,,274
2015-12-10,26,21,16,4,-3,-9,32,19,6,1018,1015,1011,7,5,1,40,13,,0.00,,,313
2015-12-11,26,20,14,3,-6,-11,44,17,6,1016,1014,1012,6,3,0,45,21,,0.00,,,334
2015-12-12,26,18,10,2,-5,-11,44,22,5,1017,1015,1013,5,4,2,19,8,,0.00,,,36
2015-12-13,27,18,9,9,-1,-7,48,29,12,1018,1015,1014,6,4,3,19,10,,0.00,,,5
2015-12-14,26,18,9,1,-3,-7,43,25,7,1020,1018,1016,6,5,3,24,10,,0.00,,,42
2015-12-15,27,18,9,8,-2,-8,51,30,6,1019,1016,1014,7,5,3,14,8,,0.00,1,,354
2015-12-16,27,19,10,14,8,2,65,46,22,1017,1014,1012,6,5,2,26,6,,0.00,1,,264
2015-12-17,28,20,12,10,0,-10,67,32,4,1020,1017,1014,8,5,3,23,8,,0.00,,,31
2015-12-18,27,19,11,3,-3,-8,46,23,6,1022,1020,1017,7,5,3,26,11,,0.00,,,38
2015-12-19,27,18,10,12,2,-4,68,37,14,1020,1018,1016,7,5,3,19,8,,0.00,,,320
2015-12-20,28,19,10,10,5,-2,77,43,15,1021,1018,1015,7,5,3,16,6,,0.00,,,35
2015-12-21,27,19,11,8,2,-4,54,35,13,1020,1018,1016,7,5,3,19,10,,0.00,3,,24
2015-12-22,27,20,12,15,9,3,73,51,33,1022,1019,1017,8,5,1,16,5,,0.00,,,106
2015-12-23,26,20,13,7,-2,-10,52,27,5,1024,1022,1012,10,6,3,21,6,,0.00,,,16
2015-12-24,24,17,10,14,-5,-9,73,23,5,1026,1023,1020,8,6,3,23,11,,0.00,,,29
2015-12-25,27,18,8,8,-2,-6,48,29,9,1024,1021,1019,8,5,3,14,6,,0.00,,,19
2015-12-26,28,19,10,8,2,-4,59,32,11,1023,1021,1019,6,4,3,21,8,,0.00,3,,36
2015-12-27,28,20,12,14,4,-3,68,41,16,1023,1021,1019,5,4,3,13,3,,0.00,,,54
2015-12-28,31,22,13,14,6,0,67,38,13,1024,1021,1020,7,4,3,19,5,,0.00,2,,40
2015-12-29,31,22,14,18,7,2,77,41,16,1022,1019,1016,6,4,3,14,6,,0.00,2,,321
2015-12-30,31,22,14,20,14,11,88,67,31,1018,1016,1013,7,4,2,14,3,,0.00,,,201
2015-12-31,29,22,15,12,6,2,63,36,14,1021,1019,1016,6,4,3,37,16,,0.00,2,,25
