AKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-8-9,9,7,3,5,4,3,97,85,66,1003,1002,1001,16,16,16,16,12,21,0.00,6,,263
2015-8-10,6,4,2,4,2,-1,100,87,70,1008,1005,1003,16,13,0,23,11,26,T,8,Fog-Rain,20
2015-8-11,4,3,1,2,1,-1,100,87,76,1010,1009,1008,16,15,8,23,11,26,0.51,8,Rain,95
2015-8-12,7,3,0,3,2,-1,100,92,76,1010,1010,1009,16,10,1,35,23,42,0.00,7,Fog,101
2015-8-13,9,6,3,9,7,2,0,0,0,1014,1011,1009,16,5,0,27,19,34,1.02,8,Fog-Rain,212
2015-8-14,9,7,4,9,7,3,0,0,0,1017,1015,1014,16,9,0,27,19,34,0.25,8,Fog-Rain,249
2015-8-15,4,3,2,2,1,0,0,0,0,1022,1020,1018,16,16,13,23,13,26,T,8,,348
2015-8-16,4,3,1,2,1,-1,0,0,0,1022,1022,1022,16,16,16,37,27,45,0.00,8,,77
2015-8-17,4,3,1,1,0,-1,0,0,0,1022,1019,1017,16,16,16,39,30,47,0.00,7,,72
2015-8-18,3,2,-1,0,-1,-2,0,0,0,1021,1019,1017,16,16,8,34,21,39,0.25,7,Rain-Snow,65
2015-8-19,3,1,-3,-1,-2,-4,0,0,0,1022,1022,1021,16,16,5,16,9,19,T,7,Snow,87
2015-8-20,4,1,-3,2,-2,-4,0,0,0,1021,1020,1019,16,14,2,21,12,29,T,5,Rain,99
2015-8-21,4,3,1,3,1,0,0,0,0,1019,1017,1015,16,11,2,34,22,42,0.51,8,Rain-Snow,94
2015-8-22,3,2,1,2,1,1,100,96,92,1015,1014,1013,16,15,8,32,22,39,4.83,8,Rain,87
2015-8-23,3,2,1,2,1,1,0,0,0,1020,1017,1015,16,13,1,29,17,37,T,8,Fog-Rain,83
2015-8-24,3,2,0,2,1,0,0,0,0,1021,1019,1012,16,6,0,40,26,48,0.00,8,Fog,104
2015-8-25,11,6,1,11,7,1,100,98,93,1011,1001,998,16,10,1,39,20,48,13.97,8,Fog-Rain,167
2015-8-26,8,5,2,8,3,0,0,0,0,998,995,993,16,14,4,53,33,68,T,7,Rain,244
2015-8-27,3,3,2,1,0,-2,0,0,0,1004,1000,995,16,11,5,64,50,79,T,8,Rain-Snow,270
2015-8-28,4,2,1,1,0,-1,0,0,0,1003,997,993,16,12,4,56,34,69,1.52,8,Rain-Snow,258
2015-8-29,3,2,1,1,0,-1,0,0,0,998,993,992,16,12,1,34,14,39,2.03,8,Fog-Rain-Snow,212
2015-8-30,4,2,0,2,1,-1,0,0,0,1008,1003,998,16,15,5,27,17,34,0.25,7,Rain,56
2015-8-31,3,2,0,1,-1,-2,0,0,0,1017,1013,1008,16,15,8,27,19,32,T,8,Rain-Snow,305
2015-9-1,6,4,1,5,2,0,0,0,0,1020,1018,1017,16,14,3,26,14,31,0.25,8,Rain,231
2015-9-2,7,4,2,5,3,2,0,0,0,1022,1021,1020,16,15,2,29,15,35,1.02,7,Rain,121
2015-9-3,2,2,1,2,2,1,0,0,0,1023,1022,1019,16,6,0,42,28,52,0.00,8,Fog,98
2015-9-4,3,2,0,1,1,0,0,0,0,1018,1016,1014,16,12,2,45,33,55,0.00,8,,104
2015-9-5,3,1,-1,2,1,-1,0,0,0,1020,1019,1016,16,5,1,29,19,35,T,8,,83
2015-9-6,6,4,2,3,3,2,0,0,0,1019,1017,1014,16,13,1,21,10,24,0.00,8,,75
2015-9-7,4,2,1,3,1,-2,0,0,0,1014,1014,1013,16,15,3,29,20,35,T,8,Rain,317
2015-9-8,2,1,-1,0,-1,-3,0,0,0,1014,1010,1008,16,11,2,23,12,29,0.51,7,Snow,46
2015-9-9,0,-1,-2,-2,-3,-6,0,0,0,1014,1012,1009,16,13,2,37,25,42,0.51,8,Snow,63
2015-9-10,0,-1,-2,-3,-4,-6,0,0,0,1014,1012,1009,16,15,4,48,33,56,T,8,Snow,60
2015-9-11,1,-1,-2,-1,-2,-4,0,0,0,1009,1009,1008,16,7,3,48,38,60,0.25,8,Snow,62
2015-9-12,1,-1,-2,1,-1,-2,100,97,92,1010,1009,1008,16,6,2,42,18,50,0.25,8,Snow,95
2015-9-13,2,1,-1,2,0,-2,100,97,92,1010,1008,1005,16,8,0,34,15,43,0.25,8,Fog-Rain-Snow,344
2015-9-14,2,1,0,1,0,-1,96,94,92,1010,1006,1004,16,11,2,42,32,53,0.25,8,Rain-Snow,42
2015-9-15,1,0,-1,1,-2,-4,100,91,79,1016,1013,1010,16,12,4,40,30,50,T,8,Snow,60
2015-9-16,-1,-2,-2,-3,-4,-4,92,84,79,1016,1015,1013,16,15,4,29,18,34,T,8,Snow,71
2015-9-17,-1,-2,-3,-3,-5,-6,96,83,75,1013,1011,1010,16,15,4,16,6,21,T,8,Snow,59
2015-9-18,-1,-2,-3,-3,-4,-7,96,82,67,1013,1011,1010,16,12,1,34,17,39,0.76,8,Fog-Snow,44
2015-9-19,-1,-2,-3,-4,-6,-7,93,81,69,1020,1016,1014,16,14,3,24,16,31,0.25,6,Snow,62
2015-9-20,-2,-2,-3,-5,-7,-8,0,0,0,1025,1023,1020,16,16,11,19,10,26,T,8,Snow,48
2015-9-21,-2,-4,-6,-4,-6,-7,100,87,72,1026,1026,1025,16,11,1,23,10,24,0.25,7,Rain-Snow,81
2015-9-22,-1,-3,-6,-3,-4,-6,100,93,74,1026,1026,1025,16,11,2,11,5,13,0.76,7,Snow,175
2015-9-23,-1,-3,-6,-4,-6,-7,96,84,74,1025,1020,1010,16,16,16,45,25,52,T,5,,138
2015-9-24,0,-3,-6,0,-2,-8,0,0,0,1010,999,994,16,8,3,39,28,48,0.76,7,Snow,165
2015-9-25,2,1,-2,2,0,-2,0,0,0,998,993,991,16,9,1,34,21,42,0.76,8,Fog-Rain-Snow,256
2015-9-26,1,0,-2,0,-2,-6,0,0,0,1013,1006,998,16,9,1,39,20,47,1.27,8,Snow,332
2015-9-27,-1,-2,-4,-4,-7,-8,0,0,0,1013,1007,998,16,16,10,19,9,23,T,8,,85
2015-9-28,1,-2,-5,-3,-4,-7,0,0,0,998,994,991,16,9,1,40,16,48,1.52,8,Fog-Snow,158
2015-9-29,1,-1,-3,-1,-3,-6,0,0,0,992,990,990,16,11,2,40,28,48,0.25,6,Snow,237
2015-9-30,0,-2,-4,-3,-6,-7,0,0,0,1009,1001,992,16,11,0,47,24,56,1.02,7,Fog-Snow,282
2015-10-1,0,-3,-6,-2,-4,-6,96,84,69,1021,1017,1011,16,10,1,52,27,60,0.51,8,Fog-Snow,251
2015-10-2,-1,-4,-8,-2,-4,-9,100,93,86,1018,1016,1015,16,15,6,19,11,21,T,7,Snow,97
2015-10-3,0,-2,-4,-2,-3,-4,100,90,85,1017,1017,1016,16,14,3,23,15,32,T,8,Snow,49
2015-10-4,-1,-4,-7,-4,-6,-8,92,83,72,1019,1018,1017,16,16,16,14,8,19,0.00,7,,106
2015-10-5,-2,-3,-3,-3,-4,-5,93,90,85,1019,1017,1017,16,9,1,37,27,43,0.51,8,Snow,96
2015-10-6,-3,-3,-4,-4,-6,-6,92,86,80,1021,1020,1019,16,16,16,40,30,50,T,7,,82
2015-10-7,-4,-4,-6,-5,-6,-7,96,89,81,1026,1023,1021,16,13,2,35,25,40,T,7,Rain,80
2015-10-8,-4,-4,-6,-6,-6,-7,92,88,84,1026,1024,1020,16,16,14,35,26,42,T,8,Snow,69
2015-10-9,-3,-4,-4,-5,-6,-7,96,90,84,1020,1012,1006,16,14,1,45,32,52,T,8,Snow,71
2015-10-10,-4,-4,-5,-6,-7,-7,91,84,80,1006,1003,1000,16,15,4,52,40,61,T,8,Rain,80
2015-10-11,-2,-3,-4,-4,-6,-7,89,82,78,1000,998,995,16,15,8,47,36,58,T,8,Rain-Snow,88
2015-10-12,-3,-4,-5,-4,-5,-6,96,88,84,996,995,994,16,16,13,35,20,42,T,8,,110
2015-10-13,-2,-4,-7,-4,-5,-7,100,93,85,1006,1001,996,16,12,2,27,9,35,2.54,7,Snow,203
2015-10-14,-1,-4,-7,-2,-3,-6,100,93,78,1020,1015,1006,16,10,1,40,19,48,1.78,7,Fog-Snow,266
2015-10-15,-3,-6,-8,-3,-6,-8,0,0,0,1021,1021,1020,16,12,0,23,17,26,T,8,Fog-Snow,199
2015-10-16,-4,-10,-16,-5,-11,-16,0,0,0,1019,1017,1014,16,12,2,24,12,27,T,5,Snow,138
2015-10-17,-3,-4,-5,-4,-5,-6,0,0,0,1014,1011,1009,16,13,5,40,28,48,T,8,Fog-Snow,62
2015-10-18,-3,-4,-6,-4,-8,-96,0,0,0,1015,1012,1009,16,14,8,34,25,39,T,8,Rain-Snow,41
2015-10-19,-6,-6,-7,-7,-8,-9,0,0,0,1021,1020,1015,16,16,6,34,24,40,T,8,Rain,65
2015-10-20,-7,-8,-9,-9,-10,-12,0,0,0,1021,1020,1020,16,14,6,40,29,48,0.25,8,Snow,62
2015-10-21,-7,-8,-9,-9,-11,-12,0,0,0,1020,1019,1019,16,12,3,40,31,48,0.51,8,Snow,58
2015-10-22,-6,-7,-8,-8,-9,-11,93,87,84,1022,1020,1019,16,16,16,42,34,50,0.00,8,,67
2015-10-23,-4,-6,-7,-7,-8,-9,89,86,81,1022,1021,1017,16,16,10,45,34,55,T,8,,93
2015-10-24,-4,-4,-4,-6,-6,-7,91,86,81,1017,1013,1011,16,16,13,45,22,53,T,8,,94
2015-10-25,-4,-8,-13,-5,-9,-14,100,92,85,1017,1015,1010,16,9,1,24,10,27,T,7,Rain-Snow,60
2015-10-26,-6,-8,-9,-8,-9,-11,96,90,84,1023,1021,1017,16,13,5,24,14,26,T,8,Rain-Snow,20
2015-10-27,-8,-9,-10,-9,-10,-11,88,87,84,1024,1023,1022,16,14,10,26,18,31,T,8,Snow,58
2015-10-28,-10,-12,-14,-12,-14,-18,0,0,0,1022,1017,1013,16,14,6,27,18,34,T,7,Snow,68
2015-10-29,-15,-16,-17,-16,-17,-19,92,90,87,1013,1011,1010,16,11,3,19,12,24,T,7,Snow,46
2015-10-30,-12,-14,-17,-14,-16,-17,95,90,84,1013,1012,1011,16,7,1,29,15,34,0.51,8,Snow,136
2015-10-31,-7,-12,-17,-9,-13,-16,92,87,81,1011,1009,1008,16,14,3,35,26,40,T,8,Snow,163
2015-11-1,-9,-13,-18,-11,-13,-19,92,88,83,1008,1002,999,16,6,1,50,35,60,1.02,7,Snow,103
2015-11-2,-8,-9,-10,-9,-10,-12,96,92,86,1001,1000,999,5,3,1,48,40,58,0.76,8,Snow,84
2015-11-3,-4,-6,-8,-4,-7,-9,100,96,92,999,997,996,16,5,0,48,26,56,0.51,8,Fog-Rain-Snow,125
2015-11-4,-4,-6,-7,-4,-7,-8,100,98,89,1003,1001,999,16,5,0,21,9,23,T,8,Fog-Snow,184
2015-11-5,-6,-7,-8,-6,-7,-8,0,0,0,1003,1002,1000,16,8,0,37,19,43,0.00,7,Fog,59
2015-11-6,-6,-8,-11,-7,-9,-12,0,0,0,1007,1002,999,16,11,3,50,40,61,T,8,Snow,59
2015-11-7,-10,-11,-12,-11,-13,-13,0,0,0,1010,1009,1007,16,9,1,47,36,53,0.25,8,Snow,68
2015-11-8,-7,-11,-14,-8,-11,-16,0,0,0,1009,1001,989,16,5,1,56,33,66,1.27,7,Fog-Snow,86
2015-11-9,-6,-7,-8,-7,-7,-8,0,0,0,989,986,985,16,10,2,52,29,63,0.25,8,Snow,84
2015-11-10,-7,-8,-11,-7,-9,-11,0,0,0,991,989,986,16,7,2,35,23,40,0.25,8,Rain-Snow,92
2015-11-11,-7,-10,-14,-8,-11,-16,0,0,0,998,994,991,16,8,1,32,22,35,T,8,Fog-Snow,79
2015-11-12,-14,-18,-23,-16,-19,-24,92,88,79,1001,999,997,16,12,4,29,16,35,T,5,Snow,26
2015-11-13,-21,-23,-24,-23,-24,-26,100,85,75,1010,1004,1001,16,9,2,10,6,16,0.00,1,Fog,125
2015-11-14,-20,-22,-24,-23,-25,-26,87,81,76,1016,1013,1010,16,14,6,14,7,16,T,5,Snow,187
2015-11-15,-19,-23,-27,-23,-26,-29,87,82,76,1019,1017,1016,16,15,3,16,6,18,T,6,Snow,182
2015-11-16,-15,-22,-28,-17,-22,-30,91,84,79,1020,1019,1019,16,15,10,14,8,18,T,6,Snow,67
2015-11-17,-17,-21,-26,-19,-21,-23,95,86,79,1022,1021,1020,16,14,2,16,5,18,T,5,Fog-Snow,120
2015-11-18,-20,-25,-30,-22,-27,-32,96,85,78,1022,1021,1017,16,13,1,16,10,18,T,4,Fog-Snow,144
2015-11-19,-22,-27,-33,-24,-31,-35,86,80,71,1017,1010,1002,16,16,16,24,14,29,0.00,1,,105
2015-11-20,-19,-21,-22,-21,-22,-23,87,83,79,1004,1002,1000,16,16,14,29,22,35,0.00,5,,52
2015-11-21,-19,-21,-22,-21,-23,-24,96,86,79,1015,1009,1004,16,15,3,23,14,27,T,4,Snow,75
2015-11-22,-22,-24,-26,-25,-27,-28,96,84,78,1022,1019,1015,16,16,10,23,15,24,0.00,3,,184
2015-11-23,-17,-22,-28,-19,-24,-31,91,85,78,1022,1018,1007,16,11,0,45,22,55,0.00,3,Fog,127
2015-11-24,-14,-16,-17,-16,-17,-19,92,87,83,1007,1005,1002,13,4,1,50,38,60,1.02,7,Fog-Snow,78
2015-11-25,-10,-12,-14,-11,-13,-16,100,92,87,1005,1002,1000,16,7,1,45,18,58,1.27,8,Fog-Rain-Snow,78
2015-11-26,-11,-24,-19,-13,-15,-20,96,90,84,1021,1011,1005,16,13,4,23,14,27,T,7,Snow,55
2015-11-27,-18,-21,-23,-20,-22,-24,91,85,79,1023,1020,1015,16,15,4,40,23,47,0.00,0,,54
2015-11-28,-16,-17,-18,-18,-18,-19,88,86,83,1014,1013,1012,16,10,5,48,37,56,0.00,2,Snow,54
2015-11-29,-16,-17,-19,-18,-20,-21,91,86,80,1017,1015,1012,16,7,1,45,35,52,0.00,6,Fog-Snow,62
2015-11-30,-19,-23,-26,-22,-26,-28,92,84,82,1022,1020,1017,16,9,2,37,30,43,T,3,,59
2015-12-1,-22,-24,-26,-24,-26,-28,87,84,82,1023,1022,1021,16,6,2,35,30,43,0.00,3,,56
2015-12-2,-23,-25,-27,-25,-27,-28,87,83,78,1024,1023,1022,16,8,3,37,24,45,0.00,4,,50
2015-12-3,-22,-25,-28,-24,-27,-31,87,82,78,1023,1023,1022,16,11,2,29,17,34,0.00,6,,72
2015-12-4,-22,-26,-28,-24,-27,-31,92,81,77,1022,1021,1021,16,9,2,34,22,39,T,5,Snow,59
2015-12-5,-25,-27,-29,-28,-29,-31,84,81,78,1022,1020,1018,16,12,2,24,16,27,T,6,Snow,71
2015-12-6,-26,-28,-29,-28,-30,-32,82,79,74,1018,1013,1008,16,16,8,29,20,34,0.00,2,,64
2015-12-7,-25,-28,-30,-28,-29,-32,82,79,74,1008,1006,1005,16,12,3,32,16,37,T,8,Snow,75
2015-12-8,-23,-26,-29,-27,-28,-31,84,79,74,1005,1003,1001,16,9,2,21,11,24,T,8,Snow,173
2015-12-9,-24,-27,-29,-27,-28,-32,84,80,74,1004,1003,1001,14,6,2,26,13,27,0.25,8,Snow,123
2015-12-10,-19,-23,-27,-23,-26,-29,87,80,69,1010,1006,1003,16,9,2,26,17,34,T,7,Snow,255
2015-12-11,-22,-26,-29,-24,-28,-31,95,83,74,1011,1010,1010,16,14,3,26,14,32,T,3,,38
2015-12-12,-21,-23,-26,-23,-25,-28,83,80,75,1015,1012,1010,16,10,1,32,22,37,T,7,Snow,58
2015-12-13,-19,-21,-22,-21,-23,-24,87,83,80,1015,1014,1010,13,3,1,45,31,50,T,8,Fog-Snow,65
2015-12-14,-19,-21,-23,-21,-23,-26,0,0,0,1010,1008,1007,13,4,2,48,35,56,0.00,7,Snow,65
2015-12-15,-17,-19,-21,-18,-21,-23,0,0,0,1011,1010,1010,11,2,0,48,40,58,T,7,Snow,81
2015-12-16,-17,-19,-20,-19,-20,-22,0,0,0,1013,1012,1011,8,3,1,42,32,50,T,7,Snow,98
2015-12-17,-8,-14,-21,-12,-18,-23,0,0,0,1011,1010,1009,16,7,0,26,16,29,0.76,6,Fog-Snow,167
2015-12-18,-13,-19,-26,-16,-21,-27,0,0,0,1009,1003,996,16,5,0,26,15,34,T,7,Fog-Snow,93
2015-12-19,-16,-17,-19,-17,-19,-21,0,0,0,999,996,995,16,11,8,27,20,37,T,7,Snow,352
2015-12-20,-14,-18,-22,-17,-20,-24,0,0,0,1005,1002,999,16,8,2,35,26,43,T,7,Snow,301
2015-12-21,-22,-24,-27,-24,-27,-29,0,0,0,1006,1005,1005,16,11,4,29,15,35,T,7,Snow,332
2015-12-22,-23,-27,-30,-25,-29,-32,0,0,0,1012,1009,1006,16,9,3,16,11,21,T,7,Snow,60
2015-12-23,-27,-29,-31,-29,-31,-33,0,0,0,1018,1015,1011,16,15,6,24,11,27,T,5,Snow,309
2015-12-24,-27,-29,-30,-30,-31,-32,86,81,77,1029,1023,1019,16,16,8,26,18,29,0.00,1,,280
2015-12-25,-29,-33,-38,-31,-34,-37,90,80,73,1030,1028,1025,16,12,2,23,12,24,0.00,0,Snow,98
2015-12-26,-22,-26,-30,-26,-28,-32,79,76,74,1025,1015,1005,16,9,3,42,31,50,0.00,0,,83
2015-12-27,-18,-22,-26,-20,-23,-29,0,0,0,1005,1002,1002,16,10,4,39,25,45,T,7,Snow,254
2015-12-28,-20,-23,-26,-23,-26,-27,0,0,0,1004,1003,1001,16,13,8,24,14,29,T,4,Snow,344
2015-12-29,-18,-24,-30,-21,-27,-33,0,0,0,1007,1005,1003,16,10,1,24,8,24,T,4,Snow,195
2015-12-30,-18,-22,-26,-21,-24,-28,0,0,0,1008,1007,1005,16,10,3,24,17,29,T,6,Snow,56
2015-12-31,-19,-21,-23,-19,-22,-25,0,0,0,1005,999,995,11,6,1,23,14,27,T,8,Fog-Snow,75
