WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-8-30,38,32,26,23,20,13,74,52,22,1017,1014,1010,10,8,2,50,14,,0.00,1,Rain,261
2015-8-31,42,34,26,19,16,14,58,29,13,1015,1012,1006,10,10,10,19,10,,0.00,2,,350
2015-9-1,39,34,28,27,21,13,79,50,25,1015,1012,1006,10,8,2,45,14,,0.51,4,Thunderstorm,241
2015-9-2,36,30,24,23,18,13,93,48,20,1017,1014,1010,10,10,10,23,10,,0.00,7,,76
2015-9-3,36,32,27,23,20,16,66,47,29,1017,1014,1010,10,10,10,26,14,,0.00,1,,112
2015-9-4,39,33,27,22,20,17,70,44,26,1017,1013,1009,10,9,3,40,14,,0.25,4,Fog-Thunderstorm,328
2015-9-5,41,35,29,28,17,11,56,30,11,1015,1013,1009,10,6,5,26,13,,0.00,,,154
2015-9-6,40,33,27,23,19,10,74,43,16,1016,1013,1009,10,10,10,29,13,,3.05,6,Rain-Thunderstorm,278
2015-9-7,40,33,26,23,18,12,83,42,14,1015,1012,1005,10,10,10,23,11,,0.00,,,296
2015-9-8,39,32,25,22,19,15,83,41,19,1014,1011,1007,10,10,10,14,10,,0.00,1,,240
2015-9-9,40,32,24,22,20,17,74,43,20,1017,1012,1007,10,10,10,19,11,,0.00,2,,218
2015-9-10,40,33,26,22,18,14,70,40,18,1017,1012,1007,10,10,10,29,13,,0.00,4,Thunderstorm,287
2015-9-11,41,33,26,21,16,14,74,30,13,1014,1010,1005,10,8,6,26,14,,0.00,6,,344
2015-9-12,43,34,26,11,9,7,37,18,7,1013,1010,1005,10,10,10,26,14,,0.00,,,135
2015-9-13,42,34,27,23,19,17,74,43,20,1014,1011,1006,10,9,6,34,11,,0.76,3,Rain-Thunderstorm,301
2015-9-14,42,34,27,21,17,12,70,31,12,1015,1011,1005,10,10,10,19,11,,0.00,5,,284
2015-9-15,40,34,28,22,19,10,66,40,16,1015,1012,1006,10,8,1,42,16,,0.00,5,,219
2015-9-16,37,31,25,20,18,16,65,42,24,1015,1013,1009,10,10,10,19,13,,0.00,2,,245
2015-9-17,38,33,29,20,18,16,58,38,22,1015,1011,1006,10,7,3,14,8,,0.00,6,,197
2015-9-18,38,32,26,29,17,13,100,38,15,1015,1012,1008,10,10,10,19,11,,0.00,,,135
2015-9-19,37,32,27,22,19,16,55,41,25,1017,1014,1009,10,9,3,40,11,,0.00,1,,167
2015-9-20,38,30,21,23,20,18,83,49,27,1017,1014,1010,10,9,6,29,11,,0.51,5,Rain-Thunderstorm,310
2015-9-21,42,34,26,22,18,14,74,36,17,1015,1012,1007,10,10,10,19,11,,0.00,,,340
2015-9-22,43,34,25,22,17,12,78,35,13,1015,1012,1006,10,8,6,19,8,,0.00,,,9
2015-9-23,41,32,24,22,12,-8,58,27,4,1015,1012,1007,10,10,10,14,5,,0.00,1,,318
2015-9-24,41,33,26,23,17,13,49,31,15,1015,1012,1007,10,10,10,11,8,,0.00,1,,180
2015-9-25,41,33,27,20,18,16,58,35,16,1015,1012,1006,10,9,5,42,10,,0.00,3,Thunderstorm,286
2015-9-26,41,34,27,18,16,14,54,32,13,1014,1010,1004,10,9,6,23,8,,0.00,6,Rain-Thunderstorm,268
2015-9-27,42,33,26,18,14,9,61,26,8,1015,1010,1005,10,10,10,32,13,,0.00,,,182
2015-9-28,43,36,27,23,11,6,74,22,6,1013,1010,1005,14,7,3,32,13,,0.00,1,,76
2015-9-29,41,34,29,22,13,5,66,26,12,1014,1012,1010,10,8,4,29,10,,0.00,5,,109
2015-9-30,43,36,28,17,12,7,48,22,7,1015,1011,1006,10,9,6,40,16,,0.00,3,,71
2015-10-1,42,37,32,13,9,7,26,15,6,1014,1011,1005,10,7,3,45,31,,0.00,,,77
2015-10-2,42,35,28,9,8,4,27,14,7,1013,1010,1004,10,10,10,48,27,,0.00,4,,92
2015-10-3,41,31,20,10,8,7,46,16,6,1015,1011,1007,10,10,10,48,24,,0.00,4,,94
2015-10-4,41,35,29,15,11,6,40,21,6,1017,1014,1009,8,4,1,45,16,,0.00,,,83
2015-10-5,41,36,31,21,11,9,41,19,9,1017,1014,1008,4,3,2,32,18,,0.00,6,,89
2015-10-6,40,34,28,8,7,6,27,15,7,1016,1013,1009,10,5,3,26,16,,0.00,,,100
2015-10-7,40,34,28,9,7,6,27,16,8,1015,1012,1007,10,6,5,29,18,,0.00,,,108
2015-10-8,39,33,27,13,9,3,28,18,7,1015,1012,1007,10,4,3,23,16,,0.00,,,151
2015-10-9,40,33,26,18,15,11,54,31,15,1016,1013,1007,10,10,10,11,5,,0.00,6,,222
2015-10-10,39,32,26,16,14,12,48,29,14,1017,1013,1008,10,6,1,23,13,,0.00,1,,309
2015-10-11,40,34,28,16,9,5,45,17,6,1015,1012,1007,10,10,10,19,11,,0.00,,,82
2015-10-12,41,34,27,12,7,3,39,16,5,1017,1014,1009,10,10,10,23,13,,0.00,4,,106
2015-10-13,42,34,26,7,5,3,26,13,5,1015,1012,1008,10,10,10,26,14,,0.00,,,99
2015-10-14,41,34,28,22,8,2,52,19,5,1017,1011,1006,10,10,10,29,14,,0.00,,,91
2015-10-15,40,33,27,11,6,3,23,14,5,1016,1012,1007,10,10,10,26,14,,0.00,,,155
2015-10-16,42,34,26,10,5,3,26,13,5,1014,1011,1006,10,10,10,66,14,,0.00,,,128
2015-10-17,41,33,25,10,5,3,30,14,5,1014,1012,1007,10,10,10,19,10,,0.00,,,117
2015-10-18,40,32,25,8,2,-6,24,11,4,1016,1013,1007,10,10,10,29,14,,0.00,,,92
2015-10-19,41,33,25,5,2,-1,26,11,4,1017,1014,1009,8,4,3,26,18,,0.00,,,102
2015-10-20,40,32,23,9,5,1,36,15,5,1017,1013,1008,10,7,4,26,11,,0.00,,,111
2015-10-21,40,31,22,10,3,-2,41,14,4,1016,1012,1007,10,10,10,34,13,,0.00,,,115
2015-10-22,40,32,23,9,3,1,36,13,4,1015,1013,1009,10,10,10,19,13,,0.00,,,105
2015-10-23,41,32,23,9,6,2,34,15,7,1016,1012,1007,10,10,10,19,11,,0.00,,,139
2015-10-24,41,32,23,11,7,2,29,15,6,1014,1011,1006,10,10,10,19,11,,0.00,,,152
2015-10-25,38,31,23,6,4,2,23,14,5,1015,1013,1009,10,8,6,37,24,,0.00,,,107
2015-10-26,37,31,25,6,3,1,28,14,6,1016,1013,1009,10,10,10,39,23,,0.00,,,105
2015-10-27,37,29,21,8,4,3,41,17,7,1017,1014,1009,10,10,10,34,18,,0.00,,,114
2015-10-28,35,28,20,7,3,1,40,17,6,1016,1014,1010,10,7,6,37,18,,0.00,,,96
2015-10-29,35,27,19,6,4,4,29,16,8,1016,1013,1009,10,10,10,39,26,,0.00,,,97
2015-10-30,35,27,18,8,4,1,43,18,7,1016,1014,1010,10,8,6,37,16,,0.00,,,104
2015-10-31,36,28,20,8,4,1,43,18,7,1016,1014,1009,10,5,3,26,16,,0.00,,,97
2015-11-1,37,29,21,4,2,0,29,14,6,1018,1015,1010,10,10,10,29,23,,0.00,,,97
2015-11-2,36,28,21,7,4,2,38,16,6,1018,1016,1012,10,7,3,45,24,,0.00,,,90
2015-11-3,35,29,23,6,0,-2,31,13,5,1018,1015,1011,10,10,10,47,29,,0.00,,,85
2015-11-4,34,27,19,10,3,0,32,17,6,1018,1015,1012,10,10,10,48,24,,0.00,,,84
2015-11-5,32,25,18,8,4,1,46,21,8,1018,1016,1012,10,10,10,37,19,,0.00,,,103
2015-11-6,32,24,17,7,5,3,42,21,9,1018,1015,1011,10,10,10,26,14,,0.00,,,113
2015-11-7,33,26,18,9,5,2,54,23,9,1018,1015,1011,10,10,10,34,13,,0.00,,,115
2015-11-8,33,27,19,9,6,3,37,21,10,1020,1017,1013,10,10,10,29,19,,0.00,,,107
2015-11-9,34,24,16,5,1,-4,29,13,4,1021,1018,1014,10,10,10,35,24,,0.00,,,89
2015-11-10,33,28,22,9,2,0,24,16,7,1020,1017,1014,10,10,10,39,31,,0.00,,,93
2015-11-11,32,27,22,8,7,4,33,22,12,1019,1017,1013,10,10,10,34,23,,0.00,,,106
2015-11-12,32,26,19,8,4,2,46,20,9,1019,1016,1013,10,10,10,23,14,,0.00,,,89
2015-11-13,32,26,18,8,6,4,43,23,12,1020,1017,1014,10,10,10,29,13,,0.00,,,96
2015-11-14,33,26,18,8,4,2,40,20,8,1019,1016,1012,10,10,10,29,18,,0.00,,,90
2015-11-15,32,24,16,7,6,3,48,23,9,1019,1016,1012,10,10,10,29,14,,0.00,,,91
2015-11-16,33,24,16,10,7,4,40,26,13,1018,1015,1011,10,10,10,29,16,,0.00,,,70
2015-11-17,30,23,16,9,7,5,55,28,13,1017,1015,1012,10,8,6,40,21,,0.00,,,100
2015-11-18,31,23,16,9,6,3,48,25,11,1017,1015,1012,10,9,8,32,21,,0.00,,,92
2015-11-19,31,23,17,7,4,2,48,22,9,1018,1016,1012,10,10,10,34,23,,0.00,,,97
2015-11-20,32,23,16,6,4,-1,52,22,10,1019,1016,1012,10,10,10,27,16,,0.00,,,96
2015-11-21,29,22,15,9,6,4,48,28,13,1017,1014,1010,10,9,8,42,23,,0.00,,,104
2015-11-22,32,23,15,9,6,3,48,26,13,1016,1013,1011,10,10,10,26,13,,0.00,,,108
2015-11-23,31,23,14,6,4,3,52,23,10,1017,1014,1011,10,10,10,29,18,,0.00,,,109
2015-11-24,33,25,17,4,3,1,37,18,8,1019,1016,1012,10,10,10,32,19,,0.00,,,103
2015-11-25,34,26,18,8,4,2,34,20,9,1018,1015,1011,10,10,10,26,13,,0.00,,,106
2015-11-26,34,26,18,7,4,1,32,19,8,1016,1012,1008,10,10,10,23,11,,0.00,,,133
2015-11-27,36,27,17,8,3,-2,34,19,9,1016,1013,1009,10,10,10,19,13,,0.00,,,106
2015-11-28,34,26,18,2,-1,-3,30,14,5,1017,1015,1012,10,10,10,26,18,,0.00,,,92
2015-11-29,34,24,15,1,0,-2,31,15,5,1019,1017,1013,10,10,10,34,21,,0.00,,,101
2015-11-30,33,24,15,4,2,0,45,19,7,1020,1018,1014,10,8,2,42,24,,0.00,,,92
2015-12-1,28,23,17,4,1,-4,32,19,7,1021,1019,1014,10,5,3,40,24,,0.00,,,80
2015-12-2,27,22,18,7,4,2,37,27,14,1024,1020,1012,5,3,3,48,35,,0.00,,,80
2015-12-3,26,20,14,4,2,-1,48,24,10,1023,1021,1019,6,5,3,47,24,,0.00,,,94
2015-12-4,26,19,11,3,1,-1,54,25,9,1023,1021,1013,10,7,6,40,21,,0.00,,,82
2015-12-5,25,18,11,7,2,-1,72,28,13,1022,1019,1011,10,8,6,47,26,,0.00,,,91
2015-12-6,25,18,12,3,1,-2,41,23,9,1023,1020,1010,10,7,5,45,24,,0.00,,,89
2015-12-7,26,18,10,22,4,-1,52,32,12,1024,1021,1017,10,9,8,29,16,,0.00,,,80
2015-12-8,26,18,11,2,-2,-6,47,20,6,1023,1020,1017,10,8,6,42,23,,0.00,,,96
2015-12-9,26,18,9,7,-1,-3,41,22,7,1023,1020,1018,10,9,8,29,18,,0.00,,,80
2015-12-10,26,19,12,4,1,-2,45,22,8,1022,1020,1012,10,9,8,29,21,,0.00,,,80
2015-12-11,26,18,10,0,-4,-9,47,18,5,1023,1021,1019,10,10,10,39,19,,0.00,,,93
2015-12-12,26,18,10,1,-1,-5,50,20,8,1022,1020,1017,10,10,10,29,16,,0.00,,,94
2015-12-13,27,18,10,4,2,1,62,28,11,1021,1019,1017,10,10,10,29,21,,0.00,,,80
2015-12-14,24,18,12,2,0,-1,47,24,10,1022,1020,1019,10,6,3,42,26,,0.00,,,97
2015-12-15,28,20,12,2,1,-1,51,22,9,1022,1020,1017,10,10,10,34,13,,0.00,,,92
2015-12-16,28,20,12,1,-2,-4,44,19,6,1022,1020,1017,10,10,10,29,18,,0.00,,,80
2015-12-17,24,19,13,1,-2,-4,41,22,8,1022,1020,1017,10,7,5,48,26,,0.00,,,94
2015-12-18,25,17,9,1,-1,-2,50,23,9,1023,1021,1019,10,8,6,34,16,,0.00,0,,80
2015-12-19,24,18,13,2,0,-1,41,24,11,1024,1021,1016,10,7,3,45,23,,0.00,,,80
2015-12-20,24,18,12,2,-1,-3,47,23,10,1023,1021,1019,10,10,10,143,26,,0.00,,,91
2015-12-21,25,18,11,0,-3,-5,44,20,6,1024,1021,1019,10,10,10,29,16,,0.00,,,91
2015-12-22,25,17,9,0,-3,-6,47,20,8,1023,1021,1019,10,10,10,29,16,,0.00,,,80
2015-12-23,23,18,13,1,-3,-6,33,20,9,1024,1021,1018,10,7,5,47,39,,0.00,,,99
2015-12-24,24,17,11,1,-1,-2,34,22,10,1025,1023,1021,10,5,3,45,32,,0.00,,,100
2015-12-25,24,18,11,1,-3,-6,47,20,7,1025,1023,1020,10,6,3,47,21,,0.00,,,80
2015-12-26,25,17,9,-1,-3,-5,46,21,8,1023,1020,1018,10,10,10,39,24,,0.00,,,94
2015-12-27,26,18,11,0,-2,-4,41,20,7,1022,1019,1013,10,10,10,26,13,,0.00,,,93
2015-12-28,27,18,10,1,-1,-4,54,23,8,1021,1019,1017,10,10,10,23,10,,0.00,,,80
2015-12-29,26,19,11,1,-1,-2,44,22,8,1022,1020,1018,10,10,10,35,19,,0.00,,,86
2015-12-30,25,18,12,1,0,-2,44,24,9,1023,1020,1017,10,10,10,26,14,,0.00,,,81
2015-12-31,25,18,10,2,1,-1,54,27,11,1021,1019,1017,10,10,10,26,11,,0.00,,,80
