JST,TempMax,TempMed,TempMin,rocio,roMed,roMin,MaxHum,MedHum,MinHum,MaxHpa,MedHpa,MinHpa,MaxVis,MedVis,MinVis,MaxVientoKm/h,MedVientoKm/h,MaxRafagasKm/h,Precipitacionmm,CloudCover,Eventos,vientoDir
21-08-2014,32,29,26,25,24,23,89,76,62,1012,1011,1010,10,10,10,37,14, ,0.00,1, ,170
22-08-2014,34,30,26,25,24,22,89,74,56,1012,1010,1008,10,10,10,35,18,47,0.00,1, ,187
23-08-2014,30,28,25,24,22,20,84,75,62,1012,1010,1009,10,10,10,39,21,53,0.00,3,Lluvia,205
24-08-2014,31,28,26,24,22,21,78,72,58,1011,1010,1008,10,10,10,35,18, ,0.00,2, ,200
25-08-2014,27,26,25,24,22,21,89,77,70,1010,1010,1008,10,10,10,29,14, ,0.00,6,Lluvia,86
26-08-2014,26,24,23,24,23,21,94,84,78,1010,1008,1006,10,9,7,35,14, ,0.00,6,Lluvia,74
27-08-2014,24,22,20,21,19,19,94,88,78,1016,1014,1010,10,9,3,34,24, ,0.00,6,Lluvia,8
28-08-2014,22,21,20,21,19,19,100,92,88,1015,1015,1014,10,7,3,27,19, ,0.00,6,Lluvia,13
29-08-2014,25,23,21,21,20,20,100,86,74,1016,1015,1014,10,9,4,24,18, ,0.00,6,Lluvia,41
30-08-2014,25,22,20,21,19,18,100,85,69,1014,1013,1011,10,9,3,34,23, ,0.00,5,Lluvia,47
31-08-2014,25,23,22,21,19,18,88,79,69,1015,1014,1013,10,10,10,26,14, ,0.00,4,Lluvia,43
01-09-2014,23,21,20,21,20,19,100,89,78,1015,1014,1012,10,8,2,29,19, ,0.00,6,Lluvia,26
02-09-2014,28,24,20,22,19,19,94,79,62,1016,1013,1010,10,10,10,27,19, ,0.00,3,Niebla-Lluvia,51
03-09-2014,26,23,22,20,19,18,83,76,65,1016,1015,1014,10,10,10,27,16, ,0.00,3, ,71
04-09-2014,28,24,22,21,20,19,88,75,62,1015,1013,1012,10,10,10,27,14, ,0.00,4, ,128
05-09-2014,30,27,24,25,23,21,89,79,70,1013,1011,1009,10,10,10,37,19, ,0.00,3,Lluvia,180
06-09-2014,29,27,25,25,24,22,94,85,74,1012,1011,1009,10,9,3,24,11, ,0.00,4,Lluvia-Tormenta,89
07-09-2014,25,22,20,24,20,18,94,90,78,1010,1008,1007,10,8,3,27,13, ,0.00,6,Lluvia-Tormenta,25
08-09-2014,23,21,20,20,19,18,94,84,78,1008,1006,1005,10,9,7,26,11, ,0.00,5,Lluvia,44
09-09-2014,26,23,20,20,19,18,94,81,61,1008,1004,1003,10,9,3,34,26,48,0.00,4,Lluvia,32
10-09-2014,26,23,22,21,20,17,88,79,69,1010,1009,1008,10,10,10,27,11, ,0.00,5,Lluvia-Tormenta,126
11-09-2014,23,21,20,21,20,18,94,88,78,1011,1010,1008,10,8,1,23,10,34,0.00,5,Lluvia,324
12-09-2014,26,22,19,18,17,15,88,71,54,1011,1010,1008,10,10,10,24,13, ,0.00,3, ,92
13-09-2014,26,23,21,19,17,15,83,71,57,1011,1010,1009,10,10,10,34,16, ,0.00,3,Lluvia,47
14-09-2014,26,23,20,19,17,16,83,70,57,1014,1012,1011,10,10,10,21,14, ,0.00,2,Lluvia,65
15-09-2014,26,23,21,20,18,16,83,72,54,1015,1013,1011,10,10,10,24,13, ,0.00,4, ,100
16-09-2014,28,24,22,21,19,17,88,74,51,1012,1011,1009,10,10,10,24,13, ,0.00,3, ,179
17-09-2014,26,23,21,21,17,15,88,70,57,1015,1013,1011,10,10,10,29,18, ,0.00,5, ,44
18-09-2014,24,22,20,16,12,4,78,56,31,1012,1011,1009,10,10,10,29,21, ,0.00,5,Lluvia,25
19-09-2014,23,21,20,13,10,6,57,47,38,1014,1012,1011,10,10,10,21,11, ,0.00,2, ,31
20-09-2014,22,21,20,15,13,10,73,64,49,1015,1013,1011,10,10,10,23,16, ,0.00,7,Lluvia,16
21-09-2014,24,20,17,16,13,11,78,63,47,1017,1016,1014,10,10,10,26,16, ,0.00,1, ,67
22-09-2014,25,22,19,18,16,13,83,71,47,1019,1016,1014,10,10,10,27,10, ,0.00,2,Lluvia,94
23-09-2014,25,21,18,16,14,12,78,65,50,1022,1020,1018,10,10,10,27,14, ,0.00,2, ,72
24-09-2014,26,23,20,20,18,15,94,78,61,1019,1015,1011,10,9,4,39,16,55,0.00,5,Lluvia,168
25-09-2014,28,24,22,24,21,17,94,81,61,1011,1004,999,10,9,5,48,37,69,0.00,5,Lluvia,190
26-09-2014,27,23,20,23,17,15,88,72,54,1020,1013,1000,10,10,10,39,23, ,0.00,3,Lluvia,52
27-09-2014,23,20,18,16,14,13,78,70,60,1022,1019,1016,10,10,10,34,27, ,0.00,4, ,22
28-09-2014,25,21,18,17,16,13,77,69,57,1016,1011,1008,10,10,10,34,26,48,0.00,3, ,15
29-09-2014,27,23,21,18,15,13,78,62,42,1010,1008,1006,10,10,10,32,24, ,0.00,3, ,40
30-09-2014,26,23,20,20,17,14,83,69,57,1014,1011,1010,10,10,10,21,13, ,0.00,3,Lluvia,141
01-10-2014,26,23,20,21,18,16,94,83,61,1018,1016,1010,10,9,7,32,14, ,0.00,6,Lluvia,45
02-10-2014,22,20,19,20,18,16,94,83,73,1017,1014,1009,10,9,5,23,11, ,0.00,6,Lluvia,98
03-10-2014,28,24,22,22,21,18,94,77,61,1009,1006,1004,10,10,8,42,26,58,0.00,1, ,191
04-10-2014,25,24,23,22,18,17,94,74,69,1018,1012,1006,10,10,10,27,13, ,0.00,5, ,66
05-10-2014,22,19,16,18,16,15,100,91,64,1021,1017,1009,10,5,3,40,29, ,0.00,6,Lluvia-Tormenta,13
06-10-2014,26,21,16,23,18,13,100,91,50,1010,995,974,10,5,0,85,31,113,0.00,5,Lluvia-Tormenta,328
07-10-2014,22,20,18,17,14,13,88,73,60,1021,1016,1008,10,10,10,29,24, ,0.00,5,Lluvia,64
08-10-2014,22,19,17,16,14,12,83,71,53,1022,1021,1020,10,10,10,24,13, ,0.00,4, ,49
09-10-2014,22,20,18,17,16,14,88,75,60,1023,1022,1021,10,10,10,21,13, ,0.00,6,Lluvia,72
10-10-2014,25,21,18,18,15,13,94,66,50,1021,1019,1018,10,10,10,27,11, ,0.00,1, ,219
11-10-2014,21,19,18,17,15,13,88,73,60,1025,1022,1019,10,10,10,27,19, ,0.00,2, ,66
12-10-2014,20,18,17,13,12,10,77,66,52,1026,1024,1020,10,10,10,24,16, ,0.00,4, ,72
13-10-2014,24,20,16,22,16,12,100,87,68,1020,1006,989,10,7,2,61,18,82,0.00,6,Lluvia,48
14-10-2014,27,23,19,22,14,8,94,61,37,1011,996,984,10,9,4,64,42,93,0.00,4,Lluvia,313
15-10-2014,19,17,14,12,10,7,82,67,52,1019,1016,1011,10,10,10,32,23, ,0.00,6,Lluvia,21
16-10-2014,19,17,14,16,12,9,94,75,63,1018,1015,1012,10,10,10,26,18, ,0.00,4,Lluvia,29
17-10-2014,23,18,14,15,9,2,100,60,31,1020,1015,1012,10,10,7,32,13, ,0.00,2, ,342
18-10-2014,20,17,14,12,7,3,68,51,37,1025,1022,1020,10,10,10,27,18, ,0.00,2, ,42
19-10-2014,21,18,15,14,10,7,82,61,46,1028,1026,1025,10,10,10,19,11, ,0.00,2, ,46
20-10-2014,24,20,16,15,14,12,83,69,53,1026,1023,1021,10,10,9,27,10, ,0.00,4,Lluvia,291
21-10-2014,22,19,17,19,17,14,94,84,73,1021,1016,1011,10,9,4,34,13,52,0.00,5,Lluvia,181
22-10-2014,22,18,14,18,16,13,100,92,73,1015,1011,1009,10,6,2,37,26,50,0.00,6,Lluvia,18
23-10-2014,15,14,13,13,12,10,94,83,72,1020,1017,1014,10,10,8,35,29, ,0.00,6,Lluvia,12
24-10-2014,19,17,14,13,11,10,82,70,56,1023,1021,1019,10,10,10,23,13, ,0.00,3,Lluvia,51
25-10-2014,20,17,13,17,14,11,94,80,64,1024,1022,1021,10,10,7,14,8, ,0.00,2, ,63
26-10-2014,24,20,17,18,16,12,94,78,65,1022,1019,1014,10,10,8,19,8, ,0.00,5,Lluvia,97
27-10-2014,23,19,16,19,13,5,100,72,45,1014,1010,1007,10,9,6,47,14,61,0.00,3, ,322
28-10-2014,19,17,14,6,2,-1,55,39,28,1021,1017,1012,10,10,10,42,31,63,0.00,1, ,342
29-10-2014,20,16,12,13,4,-1,82,45,30,1025,1023,1021,10,10,10,24,16, ,0.00,1, ,324
30-10-2014,20,16,12,16,9,4,88,62,48,1028,1026,1025,10,10,10,16,11, ,0.00,2, ,45
31-10-2014,20,18,16,16,13,9,94,72,59,1025,1023,1021,10,9,6,13,8, ,0.00,6,Lluvia,13
01-11-2014,19,17,16,16,15,13,100,88,73,1021,1016,1010,10,5,2,19,10, ,0.00,6,Lluvia,7
02-11-2014,22,19,16,19,17,14,94,82,60,1010,1003,997,10,9,6,45,16,61,0.00,5,Lluvia,214
03-11-2014,22,18,15,16,8,1,88,51,35,1011,1004,997,10,10,10,35,23,53,0.00,4, ,349
04-11-2014,19,16,13,10,4,1,63,47,35,1023,1018,1012,10,10,10,29,21, ,0.00,1, ,12
05-11-2014,17,14,13,11,8,4,68,59,51,1024,1022,1019,10,10,10,27,21, ,0.00,4,Lluvia,356
06-11-2014,20,18,15,17,13,9,94,77,63,1019,1014,1009,10,9,5,24,18, ,0.00,6,Lluvia,360
07-11-2014,21,18,15,14,7,3,77,48,35,1025,1017,1008,10,10,10,35,23, ,0.00,3, ,345
08-11-2014,15,14,14,10,6,3,72,55,45,1028,1026,1025,10,10,10,26,18, ,0.00,6,Lluvia,351
09-11-2014,17,16,14,13,11,9,88,78,67,1025,1021,1016,10,9,7,16,10, ,0.00,6,Lluvia,358
10-11-2014,21,17,14,15,12,8,94,71,43,1018,1015,1014,10,9,5,26,11, ,0.00,4,Lluvia,25
11-11-2014,16,14,14,10,8,6,72,64,55,1018,1015,1012,10,10,10,27,19, ,0.00,6,Lluvia,358
12-11-2014,18,14,12,14,11,7,94,82,55,1011,1006,1002,10,8,5,21,11, ,0.00,4,Lluvia,1
13-11-2014,20,16,12,10,3,-3,82,45,29,1011,1005,1001,10,10,10,34,18, ,0.00,1, ,271
14-11-2014,15,11,8,6,0,-4,63,43,33,1016,1014,1012,10,10,10,21,11, ,0.00,1, ,261
15-11-2014,16,12,9,4,0,-3,62,42,29,1023,1019,1016,10,10,10,27,13, ,0.00,1, ,342
16-11-2014,15,12,10,6,2,-2,63,50,41,1025,1023,1021,10,10,10,27,18, ,0.00,3, ,58
17-11-2014,16,13,10,8,4,2,67,57,47,1021,1017,1013,10,10,10,34,13,50,0.00,4, ,304
18-11-2014,16,13,10,5,1,-3,62,44,29,1020,1016,1013,10,10,10,35,21,55,0.00,3,Lluvia,340
19-11-2014,15,12,10,3,-2,-5,58,39,29,1026,1022,1020,10,10,10,32,24,50,0.00,1, ,346
20-11-2014,12,10,8,9,5,0,94,73,54,1027,1025,1024,10,8,4,24,14, ,0.00,4,Lluvia,341
21-11-2014,16,12,9,11,8,4,88,73,58,1027,1025,1024,10,10,10,23,14, ,0.00,3, ,7
22-11-2014,17,13,11,12,9,6,88,72,59,1025,1022,1020,10,10,10,19,10, ,0.00,2, ,347
23-11-2014,18,14,10,12,8,4,77,66,48,1024,1021,1020,10,10,8,27,13, ,0.00,1, ,13
24-11-2014,15,13,12,9,8,6,77,68,59,1024,1020,1016,10,10,10,19,13, ,0.00,4, ,3
25-11-2014,13,11,10,11,9,7,94,87,76,1016,1014,1013,10,8,4,39,13, ,0.00,5,Lluvia,346
26-11-2014,10,9,9,9,8,7,94,90,82,1015,1013,1011,10,6,3,47,32,64,0.00,6,Lluvia,340
27-11-2014,16,13,10,11,8,6,87,74,59,1024,1019,1013,10,10,10,32,18, ,0.00,2,Lluvia,36
28-11-2014,16,13,12,14,11,10,94,83,72,1026,1023,1019,10,10,10,23,8, ,0.00,5,Lluvia,55
29-11-2014,20,16,12,17,12,10,100,90,77,1019,1013,1010,10,7,3,32,11,42,0.00,3,Lluvia,353
30-11-2014,16,14,13,13,12,10,94,81,68,1019,1015,1011,10,10,8,23,14, ,0.00,3,Lluvia,61
01-12-2014,19,16,13,16,13,10,100,93,77,1010,999,991,10,6,1,26,10,40,0.00,5,Lluvia,310
02-12-2014,14,10,7,9,-1,-5,72,45,31,1008,1002,995,10,10,10,42,31,63,0.00,1, ,235
03-12-2014,13,9,6,-3,-5,-8,49,36,26,1015,1012,1008,10,10,10,42,29,55,0.00,1, ,225
04-12-2014,14,11,9,9,5,-3,94,67,40,1014,1009,1004,10,9,6,39,23,52,0.00,6,Lluvia,234
05-12-2014,14,10,7,5,0,-7,81,54,27,1007,1004,1002,10,10,10,26,13, ,0.00,3, ,287
06-12-2014,9,6,3,-1,-3,-6,61,51,34,1011,1008,1006,10,10,10,24,13, ,0.00,2, ,336
07-12-2014,11,6,2,-2,-5,-8,70,44,28,1023,1018,1011,10,10,10,23,14, ,0.00,2, ,335
08-12-2014,10,8,5,3,-1,-4,66,54,49,1026,1023,1022,10,10,10,23,11, ,0.00,3, ,22
09-12-2014,13,9,6,1,-2,-6,66,47,33,1026,1023,1020,10,10,10,47,19,63,0.00,1, ,341
10-12-2014,11,8,6,2,-3,-7,54,44,35,1029,1026,1023,10,10,10,35,18, ,0.00,4,Lluvia,2
11-12-2014,17,12,7,15,8,-1,94,75,53,1022,1011,1004,10,10,5,40,14,60,0.00,5,Lluvia,236
12-12-2014,12,10,8,4,0,-3,62,49,40,1012,1010,1007,10,10,10,37,21,53,0.00,6, ,8
13-12-2014,13,8,4,3,-2,-5,87,55,30,1011,1009,1006,10,10,10,39,13, ,0.00,1, ,263
14-12-2014,8,4,2,-3,-4,-5,70,50,43,1019,1016,1011,10,10,10,19,13, ,0.00,2, ,7
15-12-2014,10,6,2,0,-4,-6,61,48,35,1026,1023,1019,10,10,10,23,11, ,0.00,2, ,10
16-12-2014,8,6,4,5,1,-5,93,76,49,1025,1007,990,10,8,3,40,14, ,0.00,5,Lluvia,352
17-12-2014,9,6,3,4,-6,-10,81,44,29,1003,998,994,10,10,10,50,32,64,0.00,1, ,234
18-12-2014,9,4,1,-7,-11,-15,52,34,18,1024,1013,1003,10,10,10,40,18,53,0.00,1, ,301
19-12-2014,8,4,2,1,-5,-10,66,47,33,1031,1028,1024,10,10,10,27,16, ,0.00,2, ,93
20-12-2014,9,7,5,7,2,-4,93,75,49,1027,1015,1003,10,7,2,26,11, ,0.00,6,Lluvia,354
21-12-2014,12,8,5,6,3,0,93,66,47,1010,1008,1004,10,10,10,23,11, ,0.00,2, ,346
22-12-2014,11,7,4,4,-5,-11,81,44,22,1011,1009,1007,10,10,10,27,16,45,0.00,1, ,241
23-12-2014,11,7,4,-2,-5,-8,56,42,30,1022,1018,1011,10,10,10,26,16, ,0.00,1, ,327
24-12-2014,14,9,4,2,-2,-6,66,53,27,1022,1015,1007,10,10,10,19,10, ,0.00,3, ,358
25-12-2014,10,8,6,-1,-3,-8,61,45,34,1015,1011,1007,10,10,10,29,18, ,0.00,4,Lluvia,347
26-12-2014,9,6,2,-5,-7,-10,52,38,25,1020,1017,1015,10,10,10,32,21, ,0.00,2, ,344
27-12-2014,8,6,4,-6,-8,-12,49,36,29,1027,1024,1020,10,10,10,40,27,60,0.00,1, ,341
28-12-2014,8,4,1,-1,-4,-7,60,51,42,1026,1022,1017,10,10,10,16,11, ,0.00,3, ,351
29-12-2014,8,6,4,5,2,-4,93,80,49,1017,1008,1003,10,9,4,27,13, ,0.00,6,Lluvia,344
30-12-2014,11,7,4,7,4,1,93,74,62,1009,1007,1004,10,10,10,21,8, ,0.00,2, ,88
31-12-2014,12,7,3,5,2,-1,93,67,41,1011,1006,994,10,10,7,42,11,61,0.00,2, ,213
