D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,CloudCover,Events,WindDirDegrees,PromATmax,promATmin,promhumes,promtmeanmes,maxtmes,mintmes,
11,11,2015,21,12,4,14,9,4,100,78,54,21,6,,3,,354,,,,,,,
12,11,2015,16,12,8,11,9,7,100,81,55,16,8,,7,,300,,,,,,,
13,11,2015,19,13,6,13,9,6,100,81,51,19,3,,5,,233,,,,,,,
14,11,2015,18,12,6,11,9,6,100,85,52,26,3,,7,123,292,,,,,,,
15,11,2015,18,13,11,10,10,9,91,74,55,19,6,,8,122,-1,,,,,,,
16,11,2015,17,12,8,12,9,7,96,85,55,34,13,52,8,122,289,,,,,,,
17,11,2015,14,8,2,8,6,3,100,79,43,19,6,,5,123,278,,,,,,,
18,11,2015,12,8,4,8,6,3,100,87,67,19,8,34,7,123,28,,,,,,,
19,11,2015,13,7,1,8,4,1,100,83,52,19,5,,7,121,330,,,,,,,
20,11,2015,14,11,9,12,9,7,100,88,73,16,13,,8,122,355,,,,,,,
21,11,2015,17,13,9,12,9,7,100,81,41,13,8,,7,122,334,,,,,,,
22,11,2015,19,13,7,11,9,7,100,79,50,16,3,,5,,275,,,,,,,
23,11,2015,20,13,7,12,9,7,100,82,33,21,3,,6,121,278,,,,,,,
24,11,2015,17,13,8,12,11,8,99,78,55,23,6,,6,122,319,,,,,,,
25,11,2015,16,12,8,10,9,8,100,80,56,23,10,,5,122,1,,,,,,,
26,11,2015,16,13,11,13,11,9,94,81,69,16,10,,7,122,279,,,,,,,
27,11,2015,17,12,7,10,8,7,100,74,41,21,6,,5,122,246,,,,,,,
28,11,2015,22,12,2,11,8,3,100,70,31,26,6,,1,121,170,,,,,,,
29,11,2015,24,16,6,15,11,6,100,68,39,21,11,,2,,170,,,,,,,
30,11,2015,22,16,9,12,9,8,82,63,41,19,13,37,3,,182,,,,,,,
1,12,2015,28,19,9,16,12,9,100,70,38,16,6,,7,,167,,,,,,,
2,12,2015,28,18,8,14,12,9,100,69,26,21,5,,,,294,,,,,,,
3,12,2015,23,17,11,14,12,6,100,77,32,19,5,,7,122,266,,,,,,,
4,12,2015,24,17,10,14,12,10,100,72,45,16,5,,5,,188,,,,,,,
5,12,2015,29,18,7,16,11,8,100,67,31,16,5,,,121,250,,,,,,,
6,12,2015,21,16,11,15,13,10,100,81,62,19,5,,7,,285,,,,,,,
7,12,2015,21,16,9,12,10,8,100,72,41,19,5,,6,,197,,,,,,,
8,12,2015,21,13,7,9,7,6,93,63,32,21,11,,1,,178,,,,,,,
9,12,2015,22,14,6,12,8,5,93,64,39,21,13,,4,,205,,,,,,,
10,12,2015,22,13,6,12,10,7,100,76,43,130,6,,4,,217,,,,,,,
11,12,2015,17,12,6,12,9,6,100,80,53,19,6,,7,121,282,,,,,,,
12,12,2015,15,13,12,14,12,10,100,91,76,21,13,,8,122,340,,,,,,,
13,12,2015,16,14,13,14,13,12,100,93,82,23,13,,8,122,329,,,,,,,
14,12,2015,18,10,2,9,7,3,100,64,38,14,6,,4,,201,,,,,,,
15,12,2015,22,11,1,10,7,2,100,72,31,19,5,,1,121,207,,,,,,,
16,12,2015,19,13,8,11,9,6,100,71,41,23,6,,5,,250,,,,,,,
17,12,2015,18,10,2,11,7,3,100,75,43,21,8,,5,122,209,,,,,,,
18,12,2015,9,7,4,9,6,4,100,98,93,8,2,,2,121,115,,,,,,,
19,12,2015,25,20,12,13,11,9,94,54,35,16,10,,,,201,,,,,,,
20,12,2015,16,9,4,11,8,5,100,95,72,6,2,,,121,60,,,,,,,
21,12,2015,14,12,10,13,12,10,100,89,73,21,14,,8,122,329,,,,,,,
22,12,2015,17,10,4,11,9,5,100,85,52,27,8,,6,123,340,,,,,,,
23,12,2015,16,10,4,9,7,5,100,76,40,21,8,,5,122,291,,,,,,,
24,12,2015,21,12,2,12,8,4,100,79,43,19,3,,5,123,223,,,,,,,
25,12,2015,23,13,4,14,10,5,100,78,44,19,5,,6,121,235,,,,,,,
26,12,2015,23,13,3,14,9,5,100,81,44,23,5,,4,123,214,,,,,,,
27,12,2015,24,15,6,15,12,7,100,79,41,14,5,,6,121,303,,,,,,,
28,12,2015,24,18,12,17,14,11,100,81,50,16,6,,6,122,278,,,,,,,
29,12,2015,27,17,7,15,12,8,100,72,36,19,5,,1,121,228,,,,,,,
30,12,2015,27,17,7,16,12,8,100,71,34,21,6,,1,121,225,,,,,,,
31,12,2015,28,18,8,14,12,8,100,66,24,11,5,32,,,142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,,
Totales,,,25,15,5.5,12,9.5,5.5,100,69.5,30,,,,12,8,4,,5,32,,3,,150.5
2015,,,6447,4295,2121,4050,3048,1957,35972,29555,19153,,,,4555,3130,1533,,2588,1522,0,1919,0,73802
,,,6447,4295,2121,4050,3048,1957,35972,29555,19153,,,,6923,2588,1522,#REF!,1919,0,73802,202570,0,
