KST,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad,Mean Humedad,Min Humedad,Max Presi—n al nivel del marhPa,Mean Presi—n al nivel del marhPa,Min Presi—n al nivel del marhPa,Max VisibilidadKm,Mean VisibilidadKm,Min VisibilidadkM,Max Velocidad del vientoKm/h,Mean Velocidad del vientoKm/h,Max Velocidad de r‡fagasKm/h,Precipitaci—nmm,CloudCover,Eventos,WindDirDegrees<br>
29/01/2015,1,-3,-7,-9,-11,-13,74,56,43,1030,1027,1025,10,10,9,16,6,,0.00,6,,335<br>
30/01/2015,1,-3,-7,-10,-14,-19,59,43,23,1029,1026,1024,10,9,7,24,11,,0.00,2,,315<br>
31/01/2015,-1,-6,-9,-15,-18,-20,53,39,23,1034,1032,1030,0,0,0,14,8,,0.00,,,315<br>
1/02/2015,2,-4,-11,-12,-16,-21,62,44,17,1035,1033,1032,0,0,0,14,6,,0.00,,,329<br>
2/02/2015,5,-2,-8,-9,-13,-19,74,52,17,1033,1032,1030,8,7,6,14,5,,0.00,,,325<br>
3/02/2015,5,-1,-7,-5,-8,-14,80,62,26,1031,1029,1027,8,6,2,19,5,,0.00,6,,314<br>
4/02/2015,6,-1,-7,-3,-7,-13,86,69,25,1026,1023,1020,7,3,1,16,5,,0.00,3,Niebla,322<br>
5/02/2015,4,-2,-7,-8,-10,-13,69,54,33,1025,1023,1022,7,5,4,16,8,,0.00,1,,309<br>
6/02/2015,6,-1,-8,-8,-9,-13,80,56,33,1027,1026,1025,10,7,4,16,6,,0.00,1,,303<br>
7/02/2015,7,1,-5,-4,-7,-12,80,60,39,1025,1021,1019,10,8,5,23,6,,0.00,4,,274<br>
8/02/2015,-3,-8,-12,-17,-26,-30,35,26,15,1031,1027,1021,10,10,10,32,24,48,0.00,1,,315<br>
9/02/2015,1,-6,-12,-4,-15,-27,80,47,18,1032,1027,1023,10,5,1,26,11,45,0.00,5,Lluvia-Nieve,277<br>
10/02/2015,6,0,-6,-4,-7,-10,75,58,39,1022,1018,1015,8,5,3,27,10,45,0.00,3,,247<br>
11/02/2015,6,1,-4,-2,-8,-19,86,57,15,1015,1013,1011,9,4,1,14,5,,0.00,3,Niebla,333<br>
12/02/2015,2,-2,-5,-15,-19,-27,43,28,11,1019,1015,1012,10,10,10,34,14,,0.00,1,,312<br>
13/02/2015,3,-2,-7,-9,-16,-21,55,38,17,1022,1020,1019,0,0,0,21,10,,0.00,,,295<br>
14/02/2015,7,0,-6,0,-5,-12,81,65,52,1022,1021,1019,10,7,2,21,10,,0.00,4,,182<br>
15/02/2015,13,7,0,0,-2,-4,87,56,33,1022,1020,1018,8,5,2,21,10,,0.00,7,,124<br>
16/02/2015,9,7,4,3,1,-4,87,74,40,1018,1015,1012,7,3,1,19,13,,0.00,8,Lluvia,124<br>
17/02/2015,4,2,1,2,-3,-6,87,68,49,1019,1016,1013,6,4,2,19,11,,0.00,7,Nieve,294<br>
18/02/2015,3,1,0,-4,-6,-7,75,61,48,1023,1021,1020,7,5,4,21,6,,0.00,6,,320<br>
19/02/2015,7,1,-4,-5,-7,-10,80,58,29,1028,1026,1023,10,7,4,14,5,,0.00,1,,335<br>
20/02/2015,10,3,-4,-3,-6,-9,86,57,26,1028,1026,1024,9,5,1,11,5,,0.00,6,,311<br>
21/02/2015,7,4,3,4,0,-5,87,69,49,1023,1018,1014,6,5,2,24,10,,0.00,7,Lluvia,120<br>
22/02/2015,7,3,0,5,-1,-9,93,71,45,1021,1016,1013,5,3,1,27,10,,0.00,5,Niebla-Lluvia,276<br>
23/02/2015,5,1,-3,-6,-8,-10,74,54,36,1023,1020,1019,6,4,2,16,8,,0.00,3,,287<br>
24/02/2015,6,1,-3,-3,-7,-9,80,59,34,1020,1019,1018,10,7,5,13,3,,0.00,2,,327<br>
25/02/2015,11,4,-1,-1,-7,-15,75,50,15,1021,1019,1015,10,7,4,24,8,,0.00,7,Lluvia,244<br>
26/02/2015,5,1,-3,1,-8,-18,76,53,25,1024,1019,1016,10,8,4,32,16,,0.00,3,Lluvia,281<br>
27/02/2015,2,-2,-5,-13,-17,-20,40,31,23,1030,1027,1024,10,10,10,27,16,,0.00,6,,334<br>
28/02/2015,7,2,-3,-9,-12,-16,59,39,22,1030,1027,1022,10,10,8,19,8,,0.00,6,,341<br>
1/03/2015,6,3,0,-5,-8,-12,69,47,36,1022,1020,1018,10,8,6,26,11,,0.00,5,,290<br>
2/03/2015,9,2,-4,-5,-10,-14,75,44,20,1021,1019,1017,10,8,6,21,8,,0.00,1,,208<br>
3/03/2015,7,3,-1,1,-5,-13,81,59,28,1017,1013,1009,10,5,2,29,13,,0.00,8,Lluvia-Nieve,198<br>
4/03/2015,1,-2,-4,-12,-16,-20,51,34,23,1027,1021,1016,10,10,10,27,23,,0.00,1,,310<br>
5/03/2015,3,-2,-7,-10,-14,-19,74,43,19,1029,1027,1025,0,0,0,11,6,,0.00,,,322<br>
6/03/2015,8,1,-6,-7,-12,-21,74,46,11,1026,1024,1022,7,6,6,14,6,,0.00,,,314<br>
7/03/2015,9,1,-6,-5,-9,-18,80,53,13,1026,1024,1023,9,6,3,14,5,,0.00,,,330<br>
8/03/2015,14,6,-3,-3,-7,-11,80,49,17,1026,1023,1020,8,6,4,16,5,,0.00,7,,313<br>
9/03/2015,8,2,-5,-2,-11,-21,65,40,19,1025,1021,1018,10,7,4,39,16,,0.00,4,,314<br>
10/03/2015,1,-3,-6,-19,-22,-25,30,22,13,1027,1025,1023,10,10,10,42,32,58,0.00,1,,309<br>
11/03/2015,7,0,-7,-6,-13,-18,54,39,24,1025,1020,1016,10,9,7,34,13,53,0.00,3,,268<br>
12/03/2015,6,0,-5,-8,-13,-16,54,36,19,1022,1020,1018,10,10,10,23,11,,0.00,5,,266<br>
13/03/2015,10,5,0,-1,-9,-20,81,44,11,1023,1019,1016,10,7,6,21,10,,0.00,5,Lluvia,313<br>
14/03/2015,9,3,-3,-7,-13,-18,60,35,13,1026,1024,1022,0,0,0,19,6,,0.00,,,333<br>
15/03/2015,11,4,-2,-3,-8,-17,74,48,13,1024,1022,1021,9,8,6,14,5,,0.00,,,298<br>
16/03/2015,17,7,-2,-1,-5,-11,87,51,14,1023,1021,1018,8,5,3,13,5,,0.00,3,,310<br>
17/03/2015,16,9,2,3,-1,-6,76,55,23,1019,1018,1016,7,4,3,16,5,,0.00,6,Lluvia,280<br>
18/03/2015,15,10,5,6,2,-2,76,60,31,1017,1012,1009,7,4,2,23,8,,0.00,7,Lluvia,30<br>
19/03/2015,19,11,4,2,-1,-4,75,50,24,1016,1013,1011,9,8,6,16,8,,0.00,6,,329<br>
20/03/2015,20,12,4,2,-6,-16,76,39,8,1019,1017,1016,8,7,5,21,6,,0.00,,,320<br>
21/03/2015,17,10,3,-1,-6,-10,57,37,17,1017,1016,1014,6,5,3,16,6,,0.00,1,,218<br>
22/03/2015,15,7,-1,1,-8,-20,87,41,12,1025,1020,1016,9,5,1,27,10,,0.00,3,,302<br>
23/03/2015,11,4,-2,-10,-17,-24,30,21,10,1027,1026,1023,0,0,0,29,16,,0.00,,,312<br>
24/03/2015,11,3,-3,-6,-14,-23,64,31,8,1032,1030,1028,0,0,0,21,6,,0.00,,,296<br>
25/03/2015,13,6,-2,-2,-7,-16,75,49,13,1036,1034,1033,9,8,6,19,10,,0.00,,,228<br>
26/03/2015,14,6,-3,0,-5,-10,80,52,20,1035,1034,1031,8,7,6,16,5,,0.00,,,278<br>
27/03/2015,14,7,-1,3,-4,-14,87,54,15,1032,1027,1023,9,4,2,21,5,,0.00,1,,291<br>
28/03/2015,15,7,-2,-2,-10,-28,86,40,4,1023,1019,1015,10,6,3,14,6,,0.00,6,,248<br>
29/03/2015,15,10,5,5,1,-6,76,57,36,1019,1017,1016,8,5,3,13,5,,0.00,5,,309<br>
30/03/2015,20,10,1,7,1,-8,93,63,15,1020,1018,1016,7,3,0,16,6,,0.00,3,Niebla,308<br>
31/03/2015,16,10,5,10,7,2,88,75,55,1018,1015,1012,3,2,0,14,6,,0.00,7,Niebla-Lluvia,80<br>
1/04/2015,17,13,10,10,5,-1,94,64,31,1017,1015,1012,10,5,0,24,11,,0.00,6,Niebla-Lluvia,47<br>
2/04/2015,22,16,10,15,8,0,88,60,35,1016,1002,995,10,8,2,42,24,63,0.00,7,Lluvia-Tormenta,161<br>
3/04/2015,14,10,7,10,6,3,87,75,55,1013,1004,997,8,4,2,37,14,58,0.00,6,Lluvia,250<br>
4/04/2015,18,13,8,7,1,-4,81,45,26,1015,1014,1011,10,9,5,24,13,,0.00,6,Lluvia,100<br>
5/04/2015,13,11,10,7,3,0,82,60,44,1016,1014,1012,10,9,6,19,10,,0.00,8,Lluvia,82<br>
6/04/2015,15,11,6,5,-1,-7,76,52,22,1021,1018,1016,10,9,6,23,11,,0.00,7,,326<br>
7/04/2015,11,7,4,0,-2,-4,70,51,43,1026,1023,1021,10,10,10,21,13,,0.00,6,,345<br>
8/04/2015,12,6,1,-1,-3,-7,75,50,28,1027,1026,1024,10,10,10,16,10,,0.00,4,,323<br>
9/04/2015,15,8,1,-2,-4,-9,75,46,20,1026,1025,1023,10,10,8,21,6,,0.00,6,,293<br>
10/04/2015,18,9,1,0,-4,-10,75,46,15,1024,1023,1020,9,7,5,26,10,45,0.00,,,324<br>
11/04/2015,19,11,3,2,-2,-12,81,45,12,1026,1025,1023,9,6,5,24,5,,0.00,,,315<br>
12/04/2015,20,12,5,2,-6,-14,66,34,9,1027,1024,1021,10,8,6,23,8,,0.00,7,,101<br>
13/04/2015,17,13,8,5,-2,-10,76,40,18,1024,1019,1014,10,9,6,29,19,,0.00,7,Lluvia,80<br>
14/04/2015,8,7,6,5,3,2,81,75,66,1014,1009,1007,8,5,4,19,8,,0.00,8,Lluvia,55<br>
15/04/2015,16,11,6,6,4,2,87,66,39,1010,1008,1007,10,5,3,21,8,,0.00,6,Lluvia,228<br>
16/04/2015,15,11,8,6,3,-2,76,61,47,1013,1007,1005,10,6,3,34,14,,0.00,6,Lluvia-Tormenta,225<br>
17/04/2015,15,8,2,2,-3,-7,71,43,22,1018,1016,1013,8,8,8,26,11,48,0.00,,,205<br>
18/04/2015,23,13,3,2,-6,-17,70,34,8,1018,1015,1011,10,10,8,13,6,,0.00,7,Lluvia,190<br>
19/04/2015,17,14,11,12,8,-2,88,66,29,1012,1007,1004,10,6,3,16,8,,0.00,8,Lluvia,63<br>
20/04/2015,17,13,10,8,6,2,82,64,37,1013,1007,1003,10,10,8,21,16,,0.00,6,Lluvia,22<br>
21/04/2015,20,12,5,6,-1,-9,81,46,14,1017,1015,1013,8,7,7,16,8,,0.00,,,203<br>
22/04/2015,19,13,8,4,1,-5,66,44,24,1021,1017,1016,10,8,5,21,10,,0.00,5,,213<br>
23/04/2015,19,12,5,3,-2,-8,76,42,15,1022,1021,1018,10,5,4,21,10,37,0.00,3,,199<br>
24/04/2015,21,14,9,5,-2,-12,71,37,12,1021,1020,1018,10,6,4,21,8,,0.00,4,,307<br>
25/04/2015,22,13,4,2,-4,-13,66,36,10,1021,1020,1019,8,7,5,21,8,,0.00,,,229<br>
26/04/2015,23,16,8,6,-1,-11,63,34,12,1020,1018,1016,8,8,7,19,8,,0.00,,,201<br>
27/04/2015,24,17,10,6,2,-4,67,41,16,1018,1016,1015,9,6,5,21,10,,0.00,,,212<br>
28/04/2015,26,18,10,9,3,-5,71,38,14,1015,1013,1011,10,9,6,14,6,,0.00,7,,302<br>
29/04/2015,18,17,15,13,11,9,82,68,56,1013,1012,1011,10,6,4,19,8,,0.00,8,Lluvia,65<br>
30/04/2015,27,20,13,12,9,8,82,56,32,1014,1013,1011,10,10,8,16,6,,0.00,2,,339<br>
1/05/2015,25,19,13,11,10,8,82,59,38,1015,1013,1012,9,6,4,21,6,,0.00,,,307<br>
2/05/2015,25,19,13,13,11,9,82,61,36,1014,1012,1010,10,6,3,14,6,,0.00,6,Lluvia,301<br>
3/05/2015,20,18,16,15,14,12,88,80,68,1010,1007,1005,10,5,1,16,8,,0.00,7,Lluvia,356<br>
4/05/2015,20,16,11,12,1,-14,88,46,10,1012,1009,1007,10,7,4,35,11,,0.00,4,Niebla,278<br>
5/05/2015,19,12,6,5,-3,-11,76,37,12,1013,1012,1010,0,0,0,23,10,,0.00,,,219<br>
6/05/2015,20,13,7,5,-2,-10,62,35,12,1013,1011,1011,0,0,0,19,10,,0.00,,,202<br>
7/05/2015,22,16,9,7,0,-14,71,43,8,1014,1012,1011,10,8,6,21,6,,0.00,5,,256<br>
8/05/2015,21,16,11,9,8,3,82,64,40,1014,1013,1011,7,5,3,16,6,,0.00,6,,275<br>
9/05/2015,22,16,11,9,7,3,62,51,38,1015,1013,1011,10,10,9,16,8,,0.00,2,,294<br>
10/05/2015,24,17,11,7,2,-10,71,39,11,1019,1017,1015,0,0,0,16,6,,0.00,,,322<br>
11/05/2015,25,18,12,13,8,1,82,58,29,1018,1009,997,10,8,3,29,11,,0.00,7,Lluvia,144<br>
12/05/2015,17,13,11,14,8,4,88,68,51,1002,999,997,10,8,3,37,24,60,0.00,6,Lluvia,231<br>
13/05/2015,21,16,11,9,7,5,71,52,40,1007,1003,1000,10,10,10,32,18,,0.00,4,,222<br>
14/05/2015,25,19,14,14,11,7,77,57,46,1008,1007,1005,10,9,6,24,14,,0.00,4,,202<br>
15/05/2015,23,19,15,14,12,6,88,68,47,1010,1009,1007,8,5,1,16,8,,0.00,6,Niebla,301<br>
16/05/2015,24,17,9,7,2,-8,66,39,11,1012,1010,1008,8,8,8,24,10,,0.00,,,295<br>
17/05/2015,24,17,10,8,2,-11,77,44,10,1013,1011,1008,8,5,4,16,10,,0.00,,,215<br>
18/05/2015,22,17,12,11,6,0,77,52,25,1008,1005,1002,10,7,6,21,8,47,0.00,6,,237<br>
19/05/2015,16,14,13,12,11,10,82,78,72,1007,1006,1004,5,4,3,21,13,,0.00,7,Lluvia,227<br>
20/05/2015,21,14,8,9,6,1,88,55,28,1011,1008,1007,10,5,1,21,8,,0.00,2,,304<br>
21/05/2015,25,18,10,8,5,0,76,47,19,1015,1013,1012,8,8,8,21,10,,0.00,,,229<br>
22/05/2015,26,18,10,7,6,1,71,45,20,1015,1014,1012,7,6,6,24,10,,0.00,,,221<br>
23/05/2015,27,19,11,9,3,-2,82,42,16,1013,1011,1009,8,6,5,19,5,,0.00,,,333<br>
24/05/2015,26,19,12,9,3,-6,72,41,15,1010,1009,1007,0,0,0,19,6,,0.00,,,281<br>
25/05/2015,27,19,12,10,8,3,82,52,23,1010,1009,1008,9,6,3,19,8,,0.00,,,229<br>
26/05/2015,28,19,11,11,8,2,82,56,19,1013,1011,1010,9,5,2,16,10,,0.00,3,,217<br>
27/05/2015,30,20,10,13,4,-6,88,52,10,1012,1010,1008,9,3,0,19,6,,0.00,6,Niebla,321<br>
28/05/2015,29,22,15,9,3,-5,63,33,12,1009,1009,1007,0,0,0,23,6,,0.00,,,308<br>
29/05/2015,28,22,16,10,7,4,68,39,21,1009,1007,1005,10,10,9,19,6,,0.00,6,,323<br>
30/05/2015,22,19,16,15,12,9,82,64,49,1006,1005,1004,10,8,5,21,8,,0.00,7,Lluvia,278<br>
31/05/2015,28,20,13,12,9,2,88,54,22,1010,1008,1006,8,6,3,13,8,,0.00,2,,220<br>
1/06/2015,28,20,12,12,7,2,77,46,20,1011,1010,1009,9,5,3,21,6,45,0.00,,,229<br>
2/06/2015,28,22,16,12,8,2,72,46,19,1010,1008,1006,9,7,6,23,6,,0.00,,,288<br>
3/06/2015,29,23,17,11,3,-7,64,33,10,1010,1007,1005,10,7,6,32,14,,0.00,3,,319<br>
4/06/2015,30,22,14,10,4,-1,72,35,13,1011,1009,1008,0,0,0,19,8,,0.00,,,289<br>
5/06/2015,21,19,17,11,8,5,64,49,35,1008,1007,1005,10,10,9,23,8,,0.00,7,Lluvia,158<br>
6/06/2015,28,22,16,11,9,7,63,46,28,1014,1011,1008,10,10,10,16,10,,0.00,6,,194<br>
7/06/2015,29,23,17,13,9,6,77,48,23,1015,1013,1011,0,0,0,21,11,,0.00,,,222<br>
8/06/2015,27,22,17,15,12,10,77,58,37,1012,1008,1005,10,9,6,23,6,,0.00,6,,288<br>
9/06/2015,26,21,17,15,14,13,83,67,44,1009,1007,1006,10,7,4,21,8,,0.00,5,,288<br>
10/06/2015,32,23,16,16,14,11,94,64,27,1009,1008,1005,9,5,3,24,6,,0.00,1,,305<br>
11/06/2015,30,24,18,19,14,8,88,62,27,1007,1002,999,10,6,2,27,10,35,0.00,7,Lluvia,213<br>
12/06/2015,29,24,19,19,14,10,94,63,35,1006,1002,1000,10,6,3,24,13,,0.00,6,Lluvia,226<br>
13/06/2015,29,24,20,17,15,12,73,57,44,1007,1004,1003,10,9,6,19,11,,0.00,6,Lluvia,209<br>
14/06/2015,26,21,17,18,16,14,88,73,50,1009,1007,1006,10,7,1,21,10,35,0.00,6,Lluvia-Tormenta,302<br>
15/06/2015,29,24,19,17,16,14,88,67,42,1008,1007,1006,10,8,4,21,6,,0.00,4,,303<br>
16/06/2015,29,23,18,18,16,15,88,65,48,1006,1005,1003,8,6,4,21,6,,0.00,5,,293<br>
17/06/2015,29,23,18,18,16,14,88,66,51,1005,1004,1002,8,5,2,23,6,34,0.00,6,Lluvia-Tormenta,263<br>
18/06/2015,30,25,20,18,15,12,88,59,33,1007,1005,1004,10,8,3,14,10,,0.00,6,Lluvia,46<br>
19/06/2015,28,24,21,16,13,12,73,51,39,1009,1008,1007,10,10,6,21,13,,0.00,4,,56<br>
20/06/2015,22,20,18,17,16,15,88,81,68,1010,1009,1008,6,4,3,19,6,,0.00,6,Lluvia-Tormenta,358<br>
</body></html>,,,,,,,,,,,,,,,,,,,,,,
