EET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2011-8-30,26,23,20,19,16,10,88,66,36,1011,1010,1009,10,10,10,23,11,,0.00,2,,276
2011-8-31,27,23,19,21,16,12,88,64,42,1012,1011,1009,,,,21,8,29,0.00,,,222
2011-9-1,31,26,21,23,18,9,100,71,25,1014,1013,1012,10,10,10,21,10,,0.00,1,,212
2011-9-2,31,26,21,22,18,7,100,68,23,1013,1012,1011,8,5,4,19,13,,0.00,,,33
2011-9-3,30,26,21,22,19,16,94,72,43,1015,1013,1011,10,10,10,29,13,,0.00,3,,40
2011-9-4,29,26,22,18,16,12,73,57,35,1019,1017,1015,10,10,10,27,16,40,0.00,3,,42
2011-9-5,30,26,21,17,15,11,78,57,33,1019,1018,1018,10,10,10,27,16,42,0.00,1,,52
2011-9-6,28,24,21,16,14,9,73,56,32,1018,1017,1015,10,10,10,24,13,,0.00,2,,47
2011-9-7,27,23,21,15,13,12,64,52,39,1016,1012,1010,10,10,10,32,18,35,0.00,2,,39
2011-9-8,28,23,19,15,13,10,73,53,34,1010,1009,1007,10,10,10,21,13,29,0.00,3,,45
2011-9-9,29,24,20,20,15,8,88,61,28,1015,1010,1007,10,10,10,16,8,,0.00,4,,197
2011-9-10,28,24,21,16,13,9,64,50,36,1020,1018,1015,10,10,10,26,14,37,0.00,2,,31
2011-9-11,28,23,18,14,10,5,68,45,23,1020,1018,1017,,,,26,14,,0.00,,,48
2011-9-12,28,23,19,16,13,9,69,53,30,1016,1014,1013,,,,32,16,,0.00,,,47
2011-9-13,29,24,21,18,16,12,78,61,35,1014,1013,1013,,,,29,18,,0.00,,,35
2011-9-14,31,26,21,20,17,6,94,68,21,1015,1014,1013,10,10,10,24,13,,0.00,2,,33
2011-9-15,28,24,20,20,19,17,94,75,51,1015,1013,1013,10,10,10,23,13,,0.00,3,,32
2011-9-16,30,26,21,21,17,9,94,64,29,1016,1015,1014,10,10,10,34,16,,0.00,2,,30
2011-9-17,30,26,22,19,17,14,83,59,37,1016,1015,1014,10,10,10,27,16,,0.00,1,,34
2011-9-18,30,26,22,19,15,9,83,58,29,1015,1013,1011,10,10,10,35,21,,0.00,1,,36
2011-9-19,27,23,20,18,16,14,88,64,50,1015,1013,1011,10,10,10,24,14,,0.00,1,,19
2011-9-20,26,23,20,16,16,14,78,64,47,1017,1015,1014,10,10,10,24,11,,0.00,2,,71
2011-9-21,27,23,21,21,17,15,100,71,54,1014,1011,1007,10,10,3,39,19,52,0.00,4,Lluvia-Tormenta,35
2011-9-22,27,23,21,21,18,16,100,75,54,1010,1008,1007,10,10,10,35,18,61,0.00,6,Lluvia,28
2011-9-23,26,23,21,17,14,12,69,59,44,1013,1011,1009,10,10,10,35,24,40,0.00,2,,10
2011-9-24,27,22,17,18,15,7,94,67,30,1017,1014,1013,10,9,7,23,11,29,0.00,3,,18
2011-9-25,26,21,17,19,16,12,100,69,47,1023,1020,1017,10,9,6,32,13,,0.00,3,,46
2011-9-26,24,21,19,12,11,8,64,52,38,1024,1023,1022,10,10,10,29,19,47,0.00,2,,45
2011-9-27,24,22,20,12,11,9,56,51,41,1024,1023,1023,10,10,10,34,21,53,0.00,3,,43
2011-9-28,25,21,18,14,12,11,68,57,44,1023,1021,1020,10,10,10,32,16,48,0.00,3,,38
2011-9-29,27,22,18,16,13,8,73,59,32,1021,1020,1018,10,10,10,26,13,,0.00,3,,40
2011-9-30,21,18,15,16,12,7,94,73,52,1023,1021,1018,10,9,5,34,14,,0.00,5,Lluvia-Tormenta,12
2011-10-1,22,18,14,11,9,8,77,58,41,1023,1022,1020,10,10,10,23,13,,0.00,2,,14
2011-10-2,23,18,13,15,12,9,94,67,49,1020,1019,1017,10,10,10,29,10,,0.00,1,,60
2011-10-3,23,20,17,13,9,7,68,51,36,1023,1022,1020,10,10,10,23,13,,0.00,2,,52
2011-10-4,22,17,13,11,9,5,77,58,35,1023,1021,1020,,,,14,10,,0.00,,,34
2011-10-5,25,18,11,13,8,-8,94,61,11,1021,1020,1019,,,,19,11,,0.00,,,359
2011-10-6,25,19,14,15,12,9,82,62,36,1020,1019,1017,,,,19,10,,0.00,,,34
2011-10-7,22,18,15,17,14,10,94,72,46,1017,1014,1011,10,10,10,21,8,,0.00,2,,192
2011-10-8,26,23,20,17,14,12,73,60,47,1011,1009,1007,10,10,10,27,18,,0.00,3,,194
2011-10-9,23,19,16,19,17,15,100,87,61,1007,1005,1002,10,9,3,35,18,,0.00,6,Lluvia,178
2011-10-10,20,18,15,18,16,14,100,92,78,1007,1006,1004,10,8,4,50,27,69,0.00,6,Lluvia-Tormenta,12
2011-10-11,18,14,12,16,13,11,94,88,82,1013,1010,1005,10,10,6,35,26,,0.00,6,Lluvia,329
2011-10-12,18,16,14,14,11,8,94,72,55,1015,1013,1011,10,10,10,27,19,,0.00,6,,283
2011-10-13,19,17,16,14,12,9,77,71,59,1018,1016,1015,10,10,10,23,13,,0.00,6,Lluvia,255
2011-10-14,18,16,14,15,12,8,100,79,63,1024,1021,1016,10,9,4,35,16,,0.00,6,Lluvia-Tormenta,17
2011-10-15,16,13,11,11,8,7,94,75,59,1024,1023,1021,10,8,6,32,19,,0.00,6,Lluvia,31
2011-10-16,12,10,8,10,8,6,100,86,71,1021,1019,1017,10,9,7,47,21,66,0.00,8,Lluvia,348
2011-10-17,9,7,6,7,4,3,100,83,71,1017,1015,1012,10,9,4,42,27,60,0.00,6,Lluvia,248
2011-10-18,10,8,5,6,3,2,93,81,62,1024,1019,1012,10,8,4,35,23,,0.00,6,Lluvia,260
2011-10-19,15,12,10,9,6,4,72,62,51,1026,1024,1024,10,10,10,32,21,,0.00,3,,214
2011-10-20,17,13,11,9,8,7,77,65,52,1024,1023,1022,10,9,6,16,11,,0.00,2,,220
2011-10-21,21,14,8,10,8,2,100,66,28,1023,1022,1021,6,5,4,23,10,34,0.00,,,29
2011-10-22,19,16,13,12,9,8,94,68,49,1024,1023,1022,10,8,3,26,14,,0.00,2,,32
2011-10-23,18,16,13,9,8,4,77,60,40,1024,1022,1021,10,10,10,27,18,39,0.00,3,,38
2011-10-24,18,16,14,11,9,8,77,67,56,1021,1020,1019,10,10,10,32,19,,0.00,5,,46
2011-10-25,18,16,13,10,9,7,77,67,56,1023,1022,1021,10,10,10,27,14,39,0.00,6,,39
2011-10-26,16,13,12,8,6,2,72,60,51,1026,1024,1023,10,10,10,32,18,47,0.00,6,,44
2011-10-27,16,13,12,4,3,2,54,50,42,1028,1027,1025,10,10,10,29,21,,0.00,4,,50
2011-10-28,17,14,12,5,4,3,58,53,39,1029,1028,1028,10,10,10,27,18,,0.00,3,,40
2011-10-29,15,13,12,6,4,3,67,54,45,1028,1027,1026,10,10,10,26,18,,0.00,5,,35
2011-10-30,15,13,12,6,4,3,67,55,45,1026,1025,1024,10,10,10,21,14,,0.00,6,,44
2011-10-31,14,12,10,7,5,4,72,63,55,1025,1023,1022,10,10,10,24,16,,0.00,5,,26
2011-11-1,15,11,7,9,7,5,100,74,55,1022,1021,1020,10,10,7,24,13,,0.00,3,,360
2011-11-2,16,12,8,10,7,4,94,73,45,1022,1021,1021,10,10,6,24,13,,0.00,4,Lluvia,6
2011-11-3,15,12,9,8,6,5,93,72,51,1021,1020,1019,10,9,6,23,11,,0.00,4,Lluvia,5
2011-11-4,17,11,6,9,7,4,100,71,45,1024,1022,1021,10,9,6,21,10,,0.00,3,,31
2011-11-5,17,12,8,9,7,5,100,69,48,1025,1024,1023,10,9,7,24,11,,0.00,2,,45
2011-11-6,17,12,8,8,7,5,93,65,52,1029,1026,1024,10,10,10,26,14,,0.00,2,,45
2011-11-7,15,12,10,6,4,2,63,57,45,1032,1031,1029,10,10,10,29,21,45,0.00,3,,52
2011-11-8,15,11,7,6,4,2,87,64,48,1031,1029,1027,10,10,10,23,13,,0.00,3,,16
2011-11-9,13,9,5,12,8,4,100,87,72,1026,1022,1019,10,9,6,21,10,,0.00,3,,261
2011-11-10,14,11,8,11,7,3,100,76,58,1022,1020,1018,10,8,4,27,11,29,0.00,4,,11
2011-11-11,11,9,7,5,3,-1,81,69,53,1030,1026,1022,10,10,6,32,21,42,0.00,6,Lluvia,19
2011-11-12,10,8,7,2,-1,-4,62,52,37,1031,1031,1030,10,10,10,29,21,42,0.00,6,,50
2011-11-13,10,8,7,4,2,-1,76,64,47,1030,1029,1027,10,10,10,37,19,50,0.00,6,Lluvia,57
2011-11-14,11,9,8,4,2,0,76,63,54,1027,1023,1020,10,10,6,34,23,50,0.00,6,Lluvia,48
2011-11-15,12,10,9,6,3,1,82,67,58,1020,1019,1018,10,8,6,34,24,47,0.00,6,Lluvia,21
2011-11-16,11,9,7,4,2,1,71,65,54,1023,1021,1020,10,6,4,27,16,,0.00,6,,11
2011-11-17,9,7,5,6,3,-1,93,73,57,1026,1025,1023,10,9,6,27,14,,0.00,6,Lluvia,23
2011-11-18,11,8,6,2,-1,-3,70,54,40,1026,1025,1024,10,9,7,19,11,,0.00,4,,28
2011-11-19,11,7,3,4,3,2,93,70,54,1025,1024,1023,10,9,6,19,13,,0.00,3,,4
2011-11-20,12,8,4,7,4,2,93,76,58,1025,1024,1024,10,9,6,23,13,,0.00,3,,4
2011-11-21,13,9,5,5,3,2,87,65,47,1026,1025,1024,10,9,6,16,10,,0.00,2,,70
2011-11-22,11,7,4,7,3,1,100,70,50,1026,1025,1024,10,7,3,13,8,,0.00,1,,81
2011-11-23,12,7,3,5,3,1,93,69,51,1030,1028,1026,10,7,3,23,10,,0.00,2,,24
2011-11-24,13,10,8,8,4,0,87,68,54,1032,1031,1030,10,9,7,29,18,,0.00,5,Lluvia,38
2011-11-25,9,8,7,0,-1,-2,61,53,46,1032,1031,1028,10,10,10,26,21,,0.00,6,,50
2011-11-26,10,8,6,0,-1,-2,61,53,47,1028,1026,1025,10,10,10,19,13,,0.00,5,,20
2011-11-27,10,8,6,3,2,-2,76,64,50,1028,1027,1026,10,8,6,19,11,29,0.00,5,,17
2011-11-28,10,6,2,6,4,1,100,79,66,1027,1024,1023,10,8,6,23,10,,0.00,2,,258
2011-11-29,13,8,4,7,3,-2,100,70,36,1032,1029,1028,7,5,4,23,11,,0.00,,,44
2011-11-30,13,9,5,5,3,1,93,69,47,1028,1027,1026,8,7,6,16,10,29,0.00,,,29
2011-12-1,10,6,2,7,4,2,100,86,66,1028,1026,1025,10,5,2,13,8,,0.00,1,,296
2011-12-2,12,7,2,6,4,2,100,75,51,1028,1026,1024,10,5,2,13,8,,0.00,2,,84
2011-12-3,11,7,3,8,4,0,100,80,47,1025,1024,1023,7,5,4,19,6,,0.00,1,,237
2011-12-4,14,11,9,9,7,4,100,76,55,1024,1022,1021,10,6,4,26,14,,0.00,1,,208
2011-12-5,15,13,11,8,7,5,77,67,59,1021,1018,1015,,,,34,24,,0.00,,,198
2011-12-6,15,14,13,9,8,7,77,69,63,1015,1013,1012,10,10,10,47,26,52,0.00,6,,205
2011-12-7,14,11,8,11,9,7,100,89,72,1014,1013,1012,10,8,4,34,18,,0.00,6,Lluvia,333
2011-12-8,10,8,6,8,5,2,100,82,62,1020,1016,1013,10,9,6,34,19,,0.00,5,Lluvia,297
2011-12-9,10,7,4,2,1,-2,76,64,43,1028,1026,1021,10,10,10,26,13,,0.00,2,,266
2011-12-10,10,8,7,3,1,-1,71,61,47,1027,1025,1024,,,,29,23,,0.00,,,190
2011-12-11,12,10,9,5,3,1,67,59,54,1026,1024,1023,10,10,10,29,21,,0.00,4,,206
2011-12-12,16,12,9,7,5,4,72,59,45,1026,1025,1023,10,10,10,14,8,29,0.00,3,,152
2011-12-13,16,12,8,8,6,5,87,65,48,1023,1021,1020,10,10,10,13,5,,0.00,3,,140
2011-12-14,14,12,10,10,8,6,94,76,67,1023,1022,1020,10,10,10,13,5,,0.00,4,Lluvia,230
2011-12-15,14,10,6,10,8,6,100,83,59,1024,1022,1017,10,6,4,13,5,,0.00,2,,186
2011-12-16,14,11,9,11,8,6,100,86,63,1016,1011,1007,10,9,4,26,18,,0.00,5,Lluvia,204
2011-12-17,15,12,9,9,7,5,100,70,55,1011,1005,1001,10,10,10,47,26,,0.00,3,,192
2011-12-18,14,11,9,12,8,3,100,81,62,1020,1012,1002,10,7,4,40,26,58,0.00,6,Lluvia,24
2011-12-19,15,11,8,11,9,8,100,84,63,1020,1016,1013,10,9,4,16,10,,0.00,6,Lluvia,77
2011-12-20,15,13,10,13,10,7,100,90,59,1012,1010,1008,10,8,4,35,8,53,0.00,6,Lluvia,189
2011-12-21,11,9,7,9,5,2,93,74,54,1017,1014,1009,10,9,4,40,23,64,0.00,4,Lluvia,246
2011-12-22,13,11,9,9,6,4,94,70,58,1016,1011,1008,10,9,4,19,13,,0.00,5,Lluvia,50
2011-12-23,11,8,5,10,7,3,100,90,76,1015,1011,1007,10,8,4,48,26,76,0.00,6,Lluvia,12
2011-12-24,5,3,2,3,-1,-4,93,75,61,1022,1019,1016,10,9,6,40,34,60,0.00,6,Lluvia-Nieve,345
2011-12-25,6,3,0,-2,-3,-5,80,66,49,1031,1026,1022,10,10,10,26,19,,0.00,2,,344
2011-12-26,7,3,1,0,-2,-4,75,63,49,1036,1034,1031,10,10,10,24,18,,0.00,2,,10
2011-12-27,9,7,4,1,0,-2,76,62,50,1037,1035,1034,10,9,4,21,13,35,0.00,3,,50
2011-12-28,9,4,1,2,0,-2,93,69,54,1033,1032,1029,10,8,6,21,8,29,0.00,3,,40
2011-12-29,7,4,2,1,-2,-4,81,63,49,1029,1024,1019,10,10,8,23,8,,0.00,3,,92
2011-12-30,9,6,2,3,1,-3,76,68,61,1019,1015,1012,10,9,6,21,11,,0.00,6,,204
2011-12-31,11,9,7,8,4,1,100,75,54,1012,1009,1007,10,8,4,34,13,,0.00,6,Lluvia,43
